Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
Nodes,N/A,"{'MRR': '0.62195', 'Hits@1': '0.49563', 'Hits@5': '0.79258', 'Hits@10': '0.88428', 'Hits@20': '0.91703', 'Hits@50': '0.95852', 'Hits@100': '0.98035', 'Hits@200': '0.99563'}","{'MRR': '0.61459', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.88889', 'Hits@20': '0.92500', 'Hits@50': '0.96111', 'Hits@100': '0.97778', 'Hits@200': '0.99444'}",98
1,0,"{'MRR': '0.54006', 'Hits@1': '0.49563', 'Hits@5': '0.59607', 'Hits@10': '0.63100', 'Hits@20': '0.63755', 'Hits@50': '0.64410', 'Hits@100': '0.64629', 'Hits@200': '0.64629'}","{'MRR': '0.53708', 'Hits@1': '0.48056', 'Hits@5': '0.60833', 'Hits@10': '0.65278', 'Hits@20': '0.66111', 'Hits@50': '0.66944', 'Hits@100': '0.67222', 'Hits@200': '0.67222'}",98
1,1,"{'MRR': '0.58833', 'Hits@1': '0.49563', 'Hits@5': '0.71397', 'Hits@10': '0.77729', 'Hits@20': '0.80786', 'Hits@50': '0.82751', 'Hits@100': '0.84498', 'Hits@200': '0.84934'}","{'MRR': '0.59848', 'Hits@1': '0.48056', 'Hits@5': '0.75833', 'Hits@10': '0.83889', 'Hits@20': '0.87778', 'Hits@50': '0.90278', 'Hits@100': '0.92500', 'Hits@200': '0.93056'}",98
1,2,"{'MRR': '0.59867', 'Hits@1': '0.49563', 'Hits@5': '0.74236', 'Hits@10': '0.80786', 'Hits@20': '0.83843', 'Hits@50': '0.86026', 'Hits@100': '0.87991', 'Hits@200': '0.88428'}","{'MRR': '0.61164', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.87778', 'Hits@20': '0.91667', 'Hits@50': '0.94444', 'Hits@100': '0.96944', 'Hits@200': '0.97500'}",98
1,3,"{'MRR': '0.59914', 'Hits@1': '0.49563', 'Hits@5': '0.74236', 'Hits@10': '0.81004', 'Hits@20': '0.84061', 'Hits@50': '0.86245', 'Hits@100': '0.88210', 'Hits@200': '0.88646'}","{'MRR': '0.61224', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.88056', 'Hits@20': '0.91944', 'Hits@50': '0.94722', 'Hits@100': '0.97222', 'Hits@200': '0.97778'}",98
1,4,"{'MRR': '0.59914', 'Hits@1': '0.49563', 'Hits@5': '0.74236', 'Hits@10': '0.81004', 'Hits@20': '0.84061', 'Hits@50': '0.86245', 'Hits@100': '0.88210', 'Hits@200': '0.88646'}","{'MRR': '0.61224', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.88056', 'Hits@20': '0.91944', 'Hits@50': '0.94722', 'Hits@100': '0.97222', 'Hits@200': '0.97778'}",98
1,5,"{'MRR': '0.59914', 'Hits@1': '0.49563', 'Hits@5': '0.74236', 'Hits@10': '0.81004', 'Hits@20': '0.84061', 'Hits@50': '0.86245', 'Hits@100': '0.88210', 'Hits@200': '0.88646'}","{'MRR': '0.61224', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.88056', 'Hits@20': '0.91944', 'Hits@50': '0.94722', 'Hits@100': '0.97222', 'Hits@200': '0.97778'}",98
1,6,"{'MRR': '0.59914', 'Hits@1': '0.49563', 'Hits@5': '0.74236', 'Hits@10': '0.81004', 'Hits@20': '0.84061', 'Hits@50': '0.86245', 'Hits@100': '0.88210', 'Hits@200': '0.88646'}","{'MRR': '0.61224', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.88056', 'Hits@20': '0.91944', 'Hits@50': '0.94722', 'Hits@100': '0.97222', 'Hits@200': '0.97778'}",98
3,0,"{'MRR': '0.59911', 'Hits@1': '0.49563', 'Hits@5': '0.72926', 'Hits@10': '0.77948', 'Hits@20': '0.79694', 'Hits@50': '0.80786', 'Hits@100': '0.81004', 'Hits@200': '0.81004'}","{'MRR': '0.59647', 'Hits@1': '0.48056', 'Hits@5': '0.74444', 'Hits@10': '0.80833', 'Hits@20': '0.83056', 'Hits@50': '0.84444', 'Hits@100': '0.84722', 'Hits@200': '0.84722'}",98
3,1,"{'MRR': '0.61250', 'Hits@1': '0.49563', 'Hits@5': '0.77074', 'Hits@10': '0.83843', 'Hits@20': '0.86900', 'Hits@50': '0.89301', 'Hits@100': '0.91048', 'Hits@200': '0.91485'}","{'MRR': '0.61350', 'Hits@1': '0.48056', 'Hits@5': '0.79722', 'Hits@10': '0.88333', 'Hits@20': '0.92222', 'Hits@50': '0.95278', 'Hits@100': '0.97500', 'Hits@200': '0.98056'}",98
3,2,"{'MRR': '0.61381', 'Hits@1': '0.49563', 'Hits@5': '0.77511', 'Hits@10': '0.84279', 'Hits@20': '0.87555', 'Hits@50': '0.89956', 'Hits@100': '0.91921', 'Hits@200': '0.92358'}","{'MRR': '0.61516', 'Hits@1': '0.48056', 'Hits@5': '0.80278', 'Hits@10': '0.88889', 'Hits@20': '0.93056', 'Hits@50': '0.96111', 'Hits@100': '0.98611', 'Hits@200': '0.99167'}",98
3,3,"{'MRR': '0.61435', 'Hits@1': '0.49563', 'Hits@5': '0.77729', 'Hits@10': '0.84498', 'Hits@20': '0.87773', 'Hits@50': '0.90175', 'Hits@100': '0.92140', 'Hits@200': '0.92576'}","{'MRR': '0.61585', 'Hits@1': '0.48056', 'Hits@5': '0.80556', 'Hits@10': '0.89167', 'Hits@20': '0.93333', 'Hits@50': '0.96389', 'Hits@100': '0.98889', 'Hits@200': '0.99444'}",98
3,4,"{'MRR': '0.61435', 'Hits@1': '0.49563', 'Hits@5': '0.77729', 'Hits@10': '0.84498', 'Hits@20': '0.87773', 'Hits@50': '0.90175', 'Hits@100': '0.92140', 'Hits@200': '0.92576'}","{'MRR': '0.61585', 'Hits@1': '0.48056', 'Hits@5': '0.80556', 'Hits@10': '0.89167', 'Hits@20': '0.93333', 'Hits@50': '0.96389', 'Hits@100': '0.98889', 'Hits@200': '0.99444'}",98
3,5,"{'MRR': '0.61435', 'Hits@1': '0.49563', 'Hits@5': '0.77729', 'Hits@10': '0.84498', 'Hits@20': '0.87773', 'Hits@50': '0.90175', 'Hits@100': '0.92140', 'Hits@200': '0.92576'}","{'MRR': '0.61585', 'Hits@1': '0.48056', 'Hits@5': '0.80556', 'Hits@10': '0.89167', 'Hits@20': '0.93333', 'Hits@50': '0.96389', 'Hits@100': '0.98889', 'Hits@200': '0.99444'}",98
3,6,"{'MRR': '0.61435', 'Hits@1': '0.49563', 'Hits@5': '0.77729', 'Hits@10': '0.84498', 'Hits@20': '0.87773', 'Hits@50': '0.90175', 'Hits@100': '0.92140', 'Hits@200': '0.92576'}","{'MRR': '0.61585', 'Hits@1': '0.48056', 'Hits@5': '0.80556', 'Hits@10': '0.89167', 'Hits@20': '0.93333', 'Hits@50': '0.96389', 'Hits@100': '0.98889', 'Hits@200': '0.99444'}",98
5,0,"{'MRR': '0.61466', 'Hits@1': '0.49563', 'Hits@5': '0.79258', 'Hits@10': '0.84934', 'Hits@20': '0.86900', 'Hits@50': '0.88210', 'Hits@100': '0.88428', 'Hits@200': '0.88428'}","{'MRR': '0.60930', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.86667', 'Hits@20': '0.89167', 'Hits@50': '0.90833', 'Hits@100': '0.91111', 'Hits@200': '0.91111'}",98
5,1,"{'MRR': '0.61929', 'Hits@1': '0.49563', 'Hits@5': '0.79258', 'Hits@10': '0.86900', 'Hits@20': '0.90175', 'Hits@50': '0.92576', 'Hits@100': '0.94323', 'Hits@200': '0.94978'}","{'MRR': '0.61519', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.89167', 'Hits@20': '0.93333', 'Hits@50': '0.96389', 'Hits@100': '0.98611', 'Hits@200': '0.99444'}",98
5,2,"{'MRR': '0.61931', 'Hits@1': '0.49563', 'Hits@5': '0.79258', 'Hits@10': '0.86900', 'Hits@20': '0.90175', 'Hits@50': '0.92576', 'Hits@100': '0.94541', 'Hits@200': '0.94978'}","{'MRR': '0.61521', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.89167', 'Hits@20': '0.93333', 'Hits@50': '0.96389', 'Hits@100': '0.98889', 'Hits@200': '0.99444'}",98
