Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
Nodes,N/A,"{'MRR': '0.48397', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67467', 'Hits@20': '0.71616', 'Hits@50': '0.80131', 'Hits@100': '0.85590', 'Hits@200': '0.89738'}","{'MRR': '0.45873', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.66667', 'Hits@20': '0.71389', 'Hits@50': '0.80833', 'Hits@100': '0.86944', 'Hits@200': '0.91944'}",98
1,0,"{'MRR': '0.41221', 'Hits@1': '0.36900', 'Hits@5': '0.46943', 'Hits@10': '0.48253', 'Hits@20': '0.49127', 'Hits@50': '0.50437', 'Hits@100': '0.51528', 'Hits@200': '0.51747'}","{'MRR': '0.38831', 'Hits@1': '0.33333', 'Hits@5': '0.46111', 'Hits@10': '0.47778', 'Hits@20': '0.48889', 'Hits@50': '0.50556', 'Hits@100': '0.51944', 'Hits@200': '0.52222'}",98
1,1,"{'MRR': '0.45654', 'Hits@1': '0.36900', 'Hits@5': '0.54803', 'Hits@10': '0.59825', 'Hits@20': '0.65066', 'Hits@50': '0.70306', 'Hits@100': '0.73799', 'Hits@200': '0.75983'}","{'MRR': '0.44471', 'Hits@1': '0.33333', 'Hits@5': '0.56111', 'Hits@10': '0.62500', 'Hits@20': '0.69167', 'Hits@50': '0.75833', 'Hits@100': '0.80278', 'Hits@200': '0.83056'}",98
1,2,"{'MRR': '0.46485', 'Hits@1': '0.36900', 'Hits@5': '0.56987', 'Hits@10': '0.62227', 'Hits@20': '0.67467', 'Hits@50': '0.73362', 'Hits@100': '0.77511', 'Hits@200': '0.80349'}","{'MRR': '0.45528', 'Hits@1': '0.33333', 'Hits@5': '0.58889', 'Hits@10': '0.65556', 'Hits@20': '0.72222', 'Hits@50': '0.79722', 'Hits@100': '0.85000', 'Hits@200': '0.88611'}",98
1,3,"{'MRR': '0.46470', 'Hits@1': '0.36900', 'Hits@5': '0.56769', 'Hits@10': '0.62227', 'Hits@20': '0.67249', 'Hits@50': '0.73144', 'Hits@100': '0.77511', 'Hits@200': '0.80349'}","{'MRR': '0.45509', 'Hits@1': '0.33333', 'Hits@5': '0.58611', 'Hits@10': '0.65556', 'Hits@20': '0.71944', 'Hits@50': '0.79444', 'Hits@100': '0.85000', 'Hits@200': '0.88611'}",98
1,4,"{'MRR': '0.46470', 'Hits@1': '0.36900', 'Hits@5': '0.56769', 'Hits@10': '0.62227', 'Hits@20': '0.67249', 'Hits@50': '0.73144', 'Hits@100': '0.77511', 'Hits@200': '0.80349'}","{'MRR': '0.45509', 'Hits@1': '0.33333', 'Hits@5': '0.58611', 'Hits@10': '0.65556', 'Hits@20': '0.71944', 'Hits@50': '0.79444', 'Hits@100': '0.85000', 'Hits@200': '0.88611'}",98
1,5,"{'MRR': '0.46470', 'Hits@1': '0.36900', 'Hits@5': '0.56769', 'Hits@10': '0.62227', 'Hits@20': '0.67249', 'Hits@50': '0.73144', 'Hits@100': '0.77511', 'Hits@200': '0.80349'}","{'MRR': '0.45509', 'Hits@1': '0.33333', 'Hits@5': '0.58611', 'Hits@10': '0.65556', 'Hits@20': '0.71944', 'Hits@50': '0.79444', 'Hits@100': '0.85000', 'Hits@200': '0.88611'}",98
1,6,"{'MRR': '0.46470', 'Hits@1': '0.36900', 'Hits@5': '0.56769', 'Hits@10': '0.62227', 'Hits@20': '0.67249', 'Hits@50': '0.73144', 'Hits@100': '0.77511', 'Hits@200': '0.80349'}","{'MRR': '0.45509', 'Hits@1': '0.33333', 'Hits@5': '0.58611', 'Hits@10': '0.65556', 'Hits@20': '0.71944', 'Hits@50': '0.79444', 'Hits@100': '0.85000', 'Hits@200': '0.88611'}",98
3,0,"{'MRR': '0.47390', 'Hits@1': '0.36900', 'Hits@5': '0.59825', 'Hits@10': '0.64629', 'Hits@20': '0.66594', 'Hits@50': '0.69869', 'Hits@100': '0.71179', 'Hits@200': '0.71616'}","{'MRR': '0.45152', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.65278', 'Hits@20': '0.67778', 'Hits@50': '0.71944', 'Hits@100': '0.73611', 'Hits@200': '0.74167'}",98
3,1,"{'MRR': '0.48060', 'Hits@1': '0.36900', 'Hits@5': '0.60480', 'Hits@10': '0.66594', 'Hits@20': '0.71179', 'Hits@50': '0.77511', 'Hits@100': '0.82751', 'Hits@200': '0.86245'}","{'MRR': '0.46004', 'Hits@1': '0.33333', 'Hits@5': '0.60000', 'Hits@10': '0.67778', 'Hits@20': '0.73611', 'Hits@50': '0.81667', 'Hits@100': '0.88333', 'Hits@200': '0.92778'}",98
3,2,"{'MRR': '0.48068', 'Hits@1': '0.36900', 'Hits@5': '0.60262', 'Hits@10': '0.66594', 'Hits@20': '0.71179', 'Hits@50': '0.77948', 'Hits@100': '0.83188', 'Hits@200': '0.86681'}","{'MRR': '0.46014', 'Hits@1': '0.33333', 'Hits@5': '0.59722', 'Hits@10': '0.67778', 'Hits@20': '0.73611', 'Hits@50': '0.82222', 'Hits@100': '0.88889', 'Hits@200': '0.93333'}",98
3,3,"{'MRR': '0.48068', 'Hits@1': '0.36900', 'Hits@5': '0.60262', 'Hits@10': '0.66594', 'Hits@20': '0.71179', 'Hits@50': '0.77729', 'Hits@100': '0.83188', 'Hits@200': '0.86681'}","{'MRR': '0.46014', 'Hits@1': '0.33333', 'Hits@5': '0.59722', 'Hits@10': '0.67778', 'Hits@20': '0.73611', 'Hits@50': '0.81944', 'Hits@100': '0.88889', 'Hits@200': '0.93333'}",98
3,4,"{'MRR': '0.48068', 'Hits@1': '0.36900', 'Hits@5': '0.60262', 'Hits@10': '0.66594', 'Hits@20': '0.71179', 'Hits@50': '0.77729', 'Hits@100': '0.83188', 'Hits@200': '0.86681'}","{'MRR': '0.46014', 'Hits@1': '0.33333', 'Hits@5': '0.59722', 'Hits@10': '0.67778', 'Hits@20': '0.73611', 'Hits@50': '0.81944', 'Hits@100': '0.88889', 'Hits@200': '0.93333'}",98
3,5,"{'MRR': '0.48068', 'Hits@1': '0.36900', 'Hits@5': '0.60262', 'Hits@10': '0.66594', 'Hits@20': '0.71179', 'Hits@50': '0.77729', 'Hits@100': '0.83188', 'Hits@200': '0.86681'}","{'MRR': '0.46014', 'Hits@1': '0.33333', 'Hits@5': '0.59722', 'Hits@10': '0.67778', 'Hits@20': '0.73611', 'Hits@50': '0.81944', 'Hits@100': '0.88889', 'Hits@200': '0.93333'}",98
3,6,"{'MRR': '0.48068', 'Hits@1': '0.36900', 'Hits@5': '0.60262', 'Hits@10': '0.66594', 'Hits@20': '0.71179', 'Hits@50': '0.77729', 'Hits@100': '0.83188', 'Hits@200': '0.86681'}","{'MRR': '0.46014', 'Hits@1': '0.33333', 'Hits@5': '0.59722', 'Hits@10': '0.67778', 'Hits@20': '0.73611', 'Hits@50': '0.81944', 'Hits@100': '0.88889', 'Hits@200': '0.93333'}",98
5,0,"{'MRR': '0.47858', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.66812', 'Hits@20': '0.68996', 'Hits@50': '0.73144', 'Hits@100': '0.75109', 'Hits@200': '0.75983'}","{'MRR': '0.45469', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.66944', 'Hits@20': '0.69722', 'Hits@50': '0.75000', 'Hits@100': '0.77500', 'Hits@200': '0.78611'}",98
5,1,"{'MRR': '0.48286', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67686', 'Hits@20': '0.72271', 'Hits@50': '0.78603', 'Hits@100': '0.84061', 'Hits@200': '0.87336'}","{'MRR': '0.46013', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.68056', 'Hits@20': '0.73889', 'Hits@50': '0.81944', 'Hits@100': '0.88889', 'Hits@200': '0.93056'}",98
5,2,"{'MRR': '0.48286', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67686', 'Hits@20': '0.72271', 'Hits@50': '0.78821', 'Hits@100': '0.84279', 'Hits@200': '0.87773'}","{'MRR': '0.46014', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.68056', 'Hits@20': '0.73889', 'Hits@50': '0.82222', 'Hits@100': '0.89167', 'Hits@200': '0.93611'}",98
5,3,"{'MRR': '0.48286', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67686', 'Hits@20': '0.72271', 'Hits@50': '0.78821', 'Hits@100': '0.84279', 'Hits@200': '0.87773'}","{'MRR': '0.46014', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.68056', 'Hits@20': '0.73889', 'Hits@50': '0.82222', 'Hits@100': '0.89167', 'Hits@200': '0.93611'}",98
5,4,"{'MRR': '0.48286', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67686', 'Hits@20': '0.72271', 'Hits@50': '0.78821', 'Hits@100': '0.84279', 'Hits@200': '0.87773'}","{'MRR': '0.46014', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.68056', 'Hits@20': '0.73889', 'Hits@50': '0.82222', 'Hits@100': '0.89167', 'Hits@200': '0.93611'}",98
5,5,"{'MRR': '0.48286', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67686', 'Hits@20': '0.72271', 'Hits@50': '0.78821', 'Hits@100': '0.84279', 'Hits@200': '0.87773'}","{'MRR': '0.46014', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.68056', 'Hits@20': '0.73889', 'Hits@50': '0.82222', 'Hits@100': '0.89167', 'Hits@200': '0.93611'}",98
5,6,"{'MRR': '0.48286', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67686', 'Hits@20': '0.72271', 'Hits@50': '0.78821', 'Hits@100': '0.84279', 'Hits@200': '0.87773'}","{'MRR': '0.46014', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.68056', 'Hits@20': '0.73889', 'Hits@50': '0.82222', 'Hits@100': '0.89167', 'Hits@200': '0.93611'}",98
10,0,"{'MRR': '0.48151', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67467', 'Hits@20': '0.71616', 'Hits@50': '0.76201', 'Hits@100': '0.79258', 'Hits@200': '0.81223'}","{'MRR': '0.45685', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.66667', 'Hits@20': '0.71944', 'Hits@50': '0.77778', 'Hits@100': '0.81667', 'Hits@200': '0.84167'}",98
10,1,"{'MRR': '0.48339', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67467', 'Hits@20': '0.72489', 'Hits@50': '0.79476', 'Hits@100': '0.84716', 'Hits@200': '0.88210'}","{'MRR': '0.45924', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.66667', 'Hits@20': '0.73056', 'Hits@50': '0.81944', 'Hits@100': '0.88611', 'Hits@200': '0.93056'}",98
10,2,"{'MRR': '0.48351', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67467', 'Hits@20': '0.72707', 'Hits@50': '0.79694', 'Hits@100': '0.84934', 'Hits@200': '0.88646'}","{'MRR': '0.45940', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.66667', 'Hits@20': '0.73333', 'Hits@50': '0.82222', 'Hits@100': '0.88889', 'Hits@200': '0.93611'}",98
10,3,"{'MRR': '0.48351', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67467', 'Hits@20': '0.72707', 'Hits@50': '0.79694', 'Hits@100': '0.84934', 'Hits@200': '0.88646'}","{'MRR': '0.45940', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.66667', 'Hits@20': '0.73333', 'Hits@50': '0.82222', 'Hits@100': '0.88889', 'Hits@200': '0.93611'}",98
10,4,"{'MRR': '0.48351', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67467', 'Hits@20': '0.72707', 'Hits@50': '0.79694', 'Hits@100': '0.84934', 'Hits@200': '0.88646'}","{'MRR': '0.45940', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.66667', 'Hits@20': '0.73333', 'Hits@50': '0.82222', 'Hits@100': '0.88889', 'Hits@200': '0.93611'}",98
10,5,"{'MRR': '0.48351', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67467', 'Hits@20': '0.72707', 'Hits@50': '0.79694', 'Hits@100': '0.84934', 'Hits@200': '0.88646'}","{'MRR': '0.45940', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.66667', 'Hits@20': '0.73333', 'Hits@50': '0.82222', 'Hits@100': '0.88889', 'Hits@200': '0.93611'}",98
10,6,"{'MRR': '0.48351', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67467', 'Hits@20': '0.72707', 'Hits@50': '0.79694', 'Hits@100': '0.84934', 'Hits@200': '0.88646'}","{'MRR': '0.45940', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.66667', 'Hits@20': '0.73333', 'Hits@50': '0.82222', 'Hits@100': '0.88889', 'Hits@200': '0.93611'}",98
20,0,"{'MRR': '0.48274', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67467', 'Hits@20': '0.71616', 'Hits@50': '0.78384', 'Hits@100': '0.82969', 'Hits@200': '0.85590'}","{'MRR': '0.45794', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.66667', 'Hits@20': '0.71389', 'Hits@50': '0.80000', 'Hits@100': '0.85833', 'Hits@200': '0.89167'}",98
20,1,"{'MRR': '0.48355', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67467', 'Hits@20': '0.71616', 'Hits@50': '0.79913', 'Hits@100': '0.84934', 'Hits@200': '0.88646'}","{'MRR': '0.45897', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.66667', 'Hits@20': '0.71389', 'Hits@50': '0.81944', 'Hits@100': '0.88333', 'Hits@200': '0.93056'}",98
20,2,"{'MRR': '0.48360', 'Hits@1': '0.36900', 'Hits@5': '0.60699', 'Hits@10': '0.67467', 'Hits@20': '0.71616', 'Hits@50': '0.79913', 'Hits@100': '0.84934', 'Hits@200': '0.89083'}","{'MRR': '0.45903', 'Hits@1': '0.33333', 'Hits@5': '0.59167', 'Hits@10': '0.66667', 'Hits@20': '0.71389', 'Hits@50': '0.81944', 'Hits@100': '0.88333', 'Hits@200': '0.93611'}",98
