Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
Nodes,N/A,"{'MRR': '0.65153', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93450', 'Hits@50': '0.96725', 'Hits@100': '0.98253', 'Hits@200': '0.99563'}","{'MRR': '0.64322', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.93611', 'Hits@50': '0.96944', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
1,0,"{'MRR': '0.56117', 'Hits@1': '0.51310', 'Hits@5': '0.62882', 'Hits@10': '0.64192', 'Hits@20': '0.64629', 'Hits@50': '0.64847', 'Hits@100': '0.64847', 'Hits@200': '0.64847'}","{'MRR': '0.55838', 'Hits@1': '0.49722', 'Hits@5': '0.64444', 'Hits@10': '0.66111', 'Hits@20': '0.66667', 'Hits@50': '0.66944', 'Hits@100': '0.66944', 'Hits@200': '0.66944'}",98
1,1,"{'MRR': '0.62018', 'Hits@1': '0.51310', 'Hits@5': '0.75983', 'Hits@10': '0.81441', 'Hits@20': '0.83843', 'Hits@50': '0.85808', 'Hits@100': '0.86245', 'Hits@200': '0.86681'}","{'MRR': '0.63345', 'Hits@1': '0.49722', 'Hits@5': '0.81111', 'Hits@10': '0.88056', 'Hits@20': '0.91111', 'Hits@50': '0.93611', 'Hits@100': '0.94167', 'Hits@200': '0.94722'}",98
1,2,"{'MRR': '0.62611', 'Hits@1': '0.51310', 'Hits@5': '0.77293', 'Hits@10': '0.83188', 'Hits@20': '0.85808', 'Hits@50': '0.88210', 'Hits@100': '0.88865', 'Hits@200': '0.89738'}","{'MRR': '0.64099', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90278', 'Hits@20': '0.93611', 'Hits@50': '0.96667', 'Hits@100': '0.97500', 'Hits@200': '0.98611'}",98
1,3,"{'MRR': '0.62720', 'Hits@1': '0.51310', 'Hits@5': '0.77511', 'Hits@10': '0.83406', 'Hits@20': '0.86026', 'Hits@50': '0.88428', 'Hits@100': '0.89083', 'Hits@200': '0.89956'}","{'MRR': '0.64238', 'Hits@1': '0.49722', 'Hits@5': '0.83056', 'Hits@10': '0.90556', 'Hits@20': '0.93889', 'Hits@50': '0.96944', 'Hits@100': '0.97778', 'Hits@200': '0.98889'}",98
1,4,"{'MRR': '0.62720', 'Hits@1': '0.51310', 'Hits@5': '0.77511', 'Hits@10': '0.83406', 'Hits@20': '0.86026', 'Hits@50': '0.88428', 'Hits@100': '0.89083', 'Hits@200': '0.89956'}","{'MRR': '0.64238', 'Hits@1': '0.49722', 'Hits@5': '0.83056', 'Hits@10': '0.90556', 'Hits@20': '0.93889', 'Hits@50': '0.96944', 'Hits@100': '0.97778', 'Hits@200': '0.98889'}",98
1,5,"{'MRR': '0.62720', 'Hits@1': '0.51310', 'Hits@5': '0.77511', 'Hits@10': '0.83406', 'Hits@20': '0.86026', 'Hits@50': '0.88428', 'Hits@100': '0.89083', 'Hits@200': '0.89956'}","{'MRR': '0.64238', 'Hits@1': '0.49722', 'Hits@5': '0.83056', 'Hits@10': '0.90556', 'Hits@20': '0.93889', 'Hits@50': '0.96944', 'Hits@100': '0.97778', 'Hits@200': '0.98889'}",98
1,6,"{'MRR': '0.62720', 'Hits@1': '0.51310', 'Hits@5': '0.77511', 'Hits@10': '0.83406', 'Hits@20': '0.86026', 'Hits@50': '0.88428', 'Hits@100': '0.89083', 'Hits@200': '0.89956'}","{'MRR': '0.64238', 'Hits@1': '0.49722', 'Hits@5': '0.83056', 'Hits@10': '0.90556', 'Hits@20': '0.93889', 'Hits@50': '0.96944', 'Hits@100': '0.97778', 'Hits@200': '0.98889'}",98
3,0,"{'MRR': '0.63734', 'Hits@1': '0.51310', 'Hits@5': '0.80131', 'Hits@10': '0.83843', 'Hits@20': '0.85153', 'Hits@50': '0.86245', 'Hits@100': '0.86463', 'Hits@200': '0.86463'}","{'MRR': '0.63353', 'Hits@1': '0.49722', 'Hits@5': '0.81111', 'Hits@10': '0.85833', 'Hits@20': '0.87500', 'Hits@50': '0.88889', 'Hits@100': '0.89167', 'Hits@200': '0.89167'}",98
3,1,"{'MRR': '0.64481', 'Hits@1': '0.51310', 'Hits@5': '0.81441', 'Hits@10': '0.87773', 'Hits@20': '0.90175', 'Hits@50': '0.92140', 'Hits@100': '0.93013', 'Hits@200': '0.93668'}","{'MRR': '0.64302', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90833', 'Hits@20': '0.93889', 'Hits@50': '0.96389', 'Hits@100': '0.97500', 'Hits@200': '0.98333'}",98
3,2,"{'MRR': '0.64559', 'Hits@1': '0.51310', 'Hits@5': '0.81659', 'Hits@10': '0.87991', 'Hits@20': '0.90393', 'Hits@50': '0.93013', 'Hits@100': '0.93668', 'Hits@200': '0.94541'}","{'MRR': '0.64402', 'Hits@1': '0.49722', 'Hits@5': '0.83056', 'Hits@10': '0.91111', 'Hits@20': '0.94167', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
3,3,"{'MRR': '0.64559', 'Hits@1': '0.51310', 'Hits@5': '0.81659', 'Hits@10': '0.87991', 'Hits@20': '0.90393', 'Hits@50': '0.93013', 'Hits@100': '0.93668', 'Hits@200': '0.94541'}","{'MRR': '0.64402', 'Hits@1': '0.49722', 'Hits@5': '0.83056', 'Hits@10': '0.91111', 'Hits@20': '0.94167', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
3,4,"{'MRR': '0.64559', 'Hits@1': '0.51310', 'Hits@5': '0.81659', 'Hits@10': '0.87991', 'Hits@20': '0.90393', 'Hits@50': '0.93013', 'Hits@100': '0.93668', 'Hits@200': '0.94541'}","{'MRR': '0.64402', 'Hits@1': '0.49722', 'Hits@5': '0.83056', 'Hits@10': '0.91111', 'Hits@20': '0.94167', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
3,5,"{'MRR': '0.64559', 'Hits@1': '0.51310', 'Hits@5': '0.81659', 'Hits@10': '0.87991', 'Hits@20': '0.90393', 'Hits@50': '0.93013', 'Hits@100': '0.93668', 'Hits@200': '0.94541'}","{'MRR': '0.64402', 'Hits@1': '0.49722', 'Hits@5': '0.83056', 'Hits@10': '0.91111', 'Hits@20': '0.94167', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
3,6,"{'MRR': '0.64559', 'Hits@1': '0.51310', 'Hits@5': '0.81659', 'Hits@10': '0.87991', 'Hits@20': '0.90393', 'Hits@50': '0.93013', 'Hits@100': '0.93668', 'Hits@200': '0.94541'}","{'MRR': '0.64402', 'Hits@1': '0.49722', 'Hits@5': '0.83056', 'Hits@10': '0.91111', 'Hits@20': '0.94167', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
5,0,"{'MRR': '0.64653', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.88646', 'Hits@20': '0.89301', 'Hits@50': '0.91266', 'Hits@100': '0.91703', 'Hits@200': '0.91921'}","{'MRR': '0.63994', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.89722', 'Hits@20': '0.90556', 'Hits@50': '0.93056', 'Hits@100': '0.93611', 'Hits@200': '0.93889'}",98
5,1,"{'MRR': '0.64937', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89738', 'Hits@20': '0.92140', 'Hits@50': '0.94541', 'Hits@100': '0.95415', 'Hits@200': '0.96070'}","{'MRR': '0.64355', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.91111', 'Hits@20': '0.94167', 'Hits@50': '0.97222', 'Hits@100': '0.98333', 'Hits@200': '0.99167'}",98
5,2,"{'MRR': '0.64946', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89738', 'Hits@20': '0.92140', 'Hits@50': '0.94760', 'Hits@100': '0.95415', 'Hits@200': '0.96288'}","{'MRR': '0.64366', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.91111', 'Hits@20': '0.94167', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
5,3,"{'MRR': '0.64945', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89738', 'Hits@20': '0.92140', 'Hits@50': '0.94760', 'Hits@100': '0.95415', 'Hits@200': '0.96288'}","{'MRR': '0.64366', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.91111', 'Hits@20': '0.94167', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
5,4,"{'MRR': '0.64945', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89738', 'Hits@20': '0.92140', 'Hits@50': '0.94760', 'Hits@100': '0.95415', 'Hits@200': '0.96288'}","{'MRR': '0.64366', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.91111', 'Hits@20': '0.94167', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
5,5,"{'MRR': '0.64945', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89738', 'Hits@20': '0.92140', 'Hits@50': '0.94760', 'Hits@100': '0.95415', 'Hits@200': '0.96288'}","{'MRR': '0.64366', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.91111', 'Hits@20': '0.94167', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
5,6,"{'MRR': '0.64945', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89738', 'Hits@20': '0.92140', 'Hits@50': '0.94760', 'Hits@100': '0.95415', 'Hits@200': '0.96288'}","{'MRR': '0.64366', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.91111', 'Hits@20': '0.94167', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
10,0,"{'MRR': '0.64989', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.92140', 'Hits@50': '0.93886', 'Hits@100': '0.94323', 'Hits@200': '0.94760'}","{'MRR': '0.64208', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.92778', 'Hits@50': '0.95000', 'Hits@100': '0.95556', 'Hits@200': '0.96111'}",98
10,1,"{'MRR': '0.65095', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93231', 'Hits@50': '0.95852', 'Hits@100': '0.96507', 'Hits@200': '0.97380'}","{'MRR': '0.64343', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.94167', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
10,2,"{'MRR': '0.65093', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93231', 'Hits@50': '0.95852', 'Hits@100': '0.96507', 'Hits@200': '0.97380'}","{'MRR': '0.64341', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.94167', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
10,3,"{'MRR': '0.65093', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93231', 'Hits@50': '0.95852', 'Hits@100': '0.96507', 'Hits@200': '0.97380'}","{'MRR': '0.64341', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.94167', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
10,4,"{'MRR': '0.65093', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93231', 'Hits@50': '0.95852', 'Hits@100': '0.96507', 'Hits@200': '0.97380'}","{'MRR': '0.64341', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.94167', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
10,5,"{'MRR': '0.65093', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93231', 'Hits@50': '0.95852', 'Hits@100': '0.96507', 'Hits@200': '0.97380'}","{'MRR': '0.64341', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.94167', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
10,6,"{'MRR': '0.65093', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93231', 'Hits@50': '0.95852', 'Hits@100': '0.96507', 'Hits@200': '0.97380'}","{'MRR': '0.64341', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.94167', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
20,0,"{'MRR': '0.65083', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93450', 'Hits@50': '0.95415', 'Hits@100': '0.95852', 'Hits@200': '0.96507'}","{'MRR': '0.64274', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.93611', 'Hits@50': '0.96111', 'Hits@100': '0.96667', 'Hits@200': '0.97500'}",98
20,1,"{'MRR': '0.65128', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93450', 'Hits@50': '0.96507', 'Hits@100': '0.97162', 'Hits@200': '0.98035'}","{'MRR': '0.64331', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.93611', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
20,2,"{'MRR': '0.65127', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93450', 'Hits@50': '0.96507', 'Hits@100': '0.97162', 'Hits@200': '0.98035'}","{'MRR': '0.64330', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.93611', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
20,3,"{'MRR': '0.65127', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93450', 'Hits@50': '0.96507', 'Hits@100': '0.97162', 'Hits@200': '0.98035'}","{'MRR': '0.64330', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.93611', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
20,4,"{'MRR': '0.65127', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93450', 'Hits@50': '0.96507', 'Hits@100': '0.97162', 'Hits@200': '0.98035'}","{'MRR': '0.64330', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.93611', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
20,5,"{'MRR': '0.65127', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93450', 'Hits@50': '0.96507', 'Hits@100': '0.97162', 'Hits@200': '0.98035'}","{'MRR': '0.64330', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.93611', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
20,6,"{'MRR': '0.65127', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93450', 'Hits@50': '0.96507', 'Hits@100': '0.97162', 'Hits@200': '0.98035'}","{'MRR': '0.64330', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.93611', 'Hits@50': '0.97500', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
50,0,"{'MRR': '0.65142', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93450', 'Hits@50': '0.96725', 'Hits@100': '0.97598', 'Hits@200': '0.98472'}","{'MRR': '0.64319', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.93611', 'Hits@50': '0.96944', 'Hits@100': '0.98056', 'Hits@200': '0.99167'}",98
50,1,"{'MRR': '0.65145', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93450', 'Hits@50': '0.96725', 'Hits@100': '0.97817', 'Hits@200': '0.98690'}","{'MRR': '0.64324', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.93611', 'Hits@50': '0.96944', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
50,2,"{'MRR': '0.65145', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93450', 'Hits@50': '0.96725', 'Hits@100': '0.97817', 'Hits@200': '0.98690'}","{'MRR': '0.64324', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.93611', 'Hits@50': '0.96944', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
50,3,"{'MRR': '0.65145', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93450', 'Hits@50': '0.96725', 'Hits@100': '0.97817', 'Hits@200': '0.98690'}","{'MRR': '0.64324', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.93611', 'Hits@50': '0.96944', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
50,4,"{'MRR': '0.65145', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93450', 'Hits@50': '0.96725', 'Hits@100': '0.97817', 'Hits@200': '0.98690'}","{'MRR': '0.64324', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.93611', 'Hits@50': '0.96944', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
50,5,"{'MRR': '0.65145', 'Hits@1': '0.51310', 'Hits@5': '0.83188', 'Hits@10': '0.89956', 'Hits@20': '0.93450', 'Hits@50': '0.96725', 'Hits@100': '0.97817', 'Hits@200': '0.98690'}","{'MRR': '0.64324', 'Hits@1': '0.49722', 'Hits@5': '0.82778', 'Hits@10': '0.90000', 'Hits@20': '0.93611', 'Hits@50': '0.96944', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
