Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
Nodes,N/A,"{'MRR': '0.56547', 'Hits@1': '0.44105', 'Hits@5': '0.71179', 'Hits@10': '0.81659', 'Hits@20': '0.88428', 'Hits@50': '0.94978', 'Hits@100': '0.97817', 'Hits@200': '0.99345'}","{'MRR': '0.57105', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.82778', 'Hits@20': '0.89444', 'Hits@50': '0.95556', 'Hits@100': '0.98056', 'Hits@200': '0.99444'}",98
1,0,"{'MRR': '0.48225', 'Hits@1': '0.44105', 'Hits@5': '0.53930', 'Hits@10': '0.55677', 'Hits@20': '0.57642', 'Hits@50': '0.58515', 'Hits@100': '0.58515', 'Hits@200': '0.58515'}","{'MRR': '0.49686', 'Hits@1': '0.44444', 'Hits@5': '0.56944', 'Hits@10': '0.59167', 'Hits@20': '0.61667', 'Hits@50': '0.62778', 'Hits@100': '0.62778', 'Hits@200': '0.62778'}",98
1,1,"{'MRR': '0.53410', 'Hits@1': '0.44105', 'Hits@5': '0.64192', 'Hits@10': '0.71179', 'Hits@20': '0.75546', 'Hits@50': '0.79039', 'Hits@100': '0.81004', 'Hits@200': '0.81878'}","{'MRR': '0.56283', 'Hits@1': '0.44444', 'Hits@5': '0.70000', 'Hits@10': '0.78889', 'Hits@20': '0.84444', 'Hits@50': '0.88889', 'Hits@100': '0.91389', 'Hits@200': '0.92500'}",98
1,2,"{'MRR': '0.53766', 'Hits@1': '0.44105', 'Hits@5': '0.64847', 'Hits@10': '0.72707', 'Hits@20': '0.77729', 'Hits@50': '0.81878', 'Hits@100': '0.84061', 'Hits@200': '0.84934'}","{'MRR': '0.56736', 'Hits@1': '0.44444', 'Hits@5': '0.70833', 'Hits@10': '0.80833', 'Hits@20': '0.87222', 'Hits@50': '0.92500', 'Hits@100': '0.95278', 'Hits@200': '0.96389'}",98
1,3,"{'MRR': '0.53793', 'Hits@1': '0.44105', 'Hits@5': '0.64847', 'Hits@10': '0.72926', 'Hits@20': '0.77948', 'Hits@50': '0.82096', 'Hits@100': '0.84279', 'Hits@200': '0.85153'}","{'MRR': '0.56770', 'Hits@1': '0.44444', 'Hits@5': '0.70833', 'Hits@10': '0.81111', 'Hits@20': '0.87500', 'Hits@50': '0.92778', 'Hits@100': '0.95556', 'Hits@200': '0.96667'}",98
1,4,"{'MRR': '0.53793', 'Hits@1': '0.44105', 'Hits@5': '0.64847', 'Hits@10': '0.72926', 'Hits@20': '0.77948', 'Hits@50': '0.82096', 'Hits@100': '0.84279', 'Hits@200': '0.85153'}","{'MRR': '0.56770', 'Hits@1': '0.44444', 'Hits@5': '0.70833', 'Hits@10': '0.81111', 'Hits@20': '0.87500', 'Hits@50': '0.92778', 'Hits@100': '0.95556', 'Hits@200': '0.96667'}",98
1,5,"{'MRR': '0.53793', 'Hits@1': '0.44105', 'Hits@5': '0.64847', 'Hits@10': '0.72926', 'Hits@20': '0.77948', 'Hits@50': '0.82096', 'Hits@100': '0.84279', 'Hits@200': '0.85153'}","{'MRR': '0.56770', 'Hits@1': '0.44444', 'Hits@5': '0.70833', 'Hits@10': '0.81111', 'Hits@20': '0.87500', 'Hits@50': '0.92778', 'Hits@100': '0.95556', 'Hits@200': '0.96667'}",98
1,6,"{'MRR': '0.53793', 'Hits@1': '0.44105', 'Hits@5': '0.64847', 'Hits@10': '0.72926', 'Hits@20': '0.77948', 'Hits@50': '0.82096', 'Hits@100': '0.84279', 'Hits@200': '0.85153'}","{'MRR': '0.56770', 'Hits@1': '0.44444', 'Hits@5': '0.70833', 'Hits@10': '0.81111', 'Hits@20': '0.87500', 'Hits@50': '0.92778', 'Hits@100': '0.95556', 'Hits@200': '0.96667'}",98
3,0,"{'MRR': '0.54598', 'Hits@1': '0.44105', 'Hits@5': '0.68122', 'Hits@10': '0.72489', 'Hits@20': '0.75546', 'Hits@50': '0.77511', 'Hits@100': '0.77729', 'Hits@200': '0.77948'}","{'MRR': '0.55711', 'Hits@1': '0.44444', 'Hits@5': '0.70278', 'Hits@10': '0.75833', 'Hits@20': '0.79722', 'Hits@50': '0.82222', 'Hits@100': '0.82500', 'Hits@200': '0.82778'}",98
3,1,"{'MRR': '0.55693', 'Hits@1': '0.44105', 'Hits@5': '0.69432', 'Hits@10': '0.77948', 'Hits@20': '0.82751', 'Hits@50': '0.86681', 'Hits@100': '0.88646', 'Hits@200': '0.89520'}","{'MRR': '0.57103', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.82778', 'Hits@20': '0.88889', 'Hits@50': '0.93889', 'Hits@100': '0.96389', 'Hits@200': '0.97500'}",98
3,2,"{'MRR': '0.55798', 'Hits@1': '0.44105', 'Hits@5': '0.69432', 'Hits@10': '0.78603', 'Hits@20': '0.83624', 'Hits@50': '0.87773', 'Hits@100': '0.89956', 'Hits@200': '0.90830'}","{'MRR': '0.57237', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.83611', 'Hits@20': '0.90000', 'Hits@50': '0.95278', 'Hits@100': '0.98056', 'Hits@200': '0.99167'}",98
3,3,"{'MRR': '0.55825', 'Hits@1': '0.44105', 'Hits@5': '0.69432', 'Hits@10': '0.78821', 'Hits@20': '0.83843', 'Hits@50': '0.87991', 'Hits@100': '0.90175', 'Hits@200': '0.91048'}","{'MRR': '0.57272', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.83889', 'Hits@20': '0.90278', 'Hits@50': '0.95556', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
3,4,"{'MRR': '0.55825', 'Hits@1': '0.44105', 'Hits@5': '0.69432', 'Hits@10': '0.78821', 'Hits@20': '0.83843', 'Hits@50': '0.87991', 'Hits@100': '0.90175', 'Hits@200': '0.91048'}","{'MRR': '0.57272', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.83889', 'Hits@20': '0.90278', 'Hits@50': '0.95556', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
3,5,"{'MRR': '0.55825', 'Hits@1': '0.44105', 'Hits@5': '0.69432', 'Hits@10': '0.78821', 'Hits@20': '0.83843', 'Hits@50': '0.87991', 'Hits@100': '0.90175', 'Hits@200': '0.91048'}","{'MRR': '0.57272', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.83889', 'Hits@20': '0.90278', 'Hits@50': '0.95556', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
3,6,"{'MRR': '0.55825', 'Hits@1': '0.44105', 'Hits@5': '0.69432', 'Hits@10': '0.78821', 'Hits@20': '0.83843', 'Hits@50': '0.87991', 'Hits@100': '0.90175', 'Hits@200': '0.91048'}","{'MRR': '0.57272', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.83889', 'Hits@20': '0.90278', 'Hits@50': '0.95556', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
5,0,"{'MRR': '0.55581', 'Hits@1': '0.44105', 'Hits@5': '0.71179', 'Hits@10': '0.77293', 'Hits@20': '0.80568', 'Hits@50': '0.83406', 'Hits@100': '0.83624', 'Hits@200': '0.83843'}","{'MRR': '0.56434', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.79722', 'Hits@20': '0.83889', 'Hits@50': '0.87500', 'Hits@100': '0.87778', 'Hits@200': '0.88056'}",98
5,1,"{'MRR': '0.56114', 'Hits@1': '0.44105', 'Hits@5': '0.71179', 'Hits@10': '0.80131', 'Hits@20': '0.84934', 'Hits@50': '0.88865', 'Hits@100': '0.90830', 'Hits@200': '0.91703'}","{'MRR': '0.57111', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.83333', 'Hits@20': '0.89444', 'Hits@50': '0.94444', 'Hits@100': '0.96944', 'Hits@200': '0.98056'}",98
5,2,"{'MRR': '0.56185', 'Hits@1': '0.44105', 'Hits@5': '0.71179', 'Hits@10': '0.80568', 'Hits@20': '0.85590', 'Hits@50': '0.89738', 'Hits@100': '0.91921', 'Hits@200': '0.92795'}","{'MRR': '0.57202', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.83889', 'Hits@20': '0.90278', 'Hits@50': '0.95556', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
5,3,"{'MRR': '0.56185', 'Hits@1': '0.44105', 'Hits@5': '0.71179', 'Hits@10': '0.80568', 'Hits@20': '0.85590', 'Hits@50': '0.89738', 'Hits@100': '0.91921', 'Hits@200': '0.92795'}","{'MRR': '0.57202', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.83889', 'Hits@20': '0.90278', 'Hits@50': '0.95556', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
5,4,"{'MRR': '0.56185', 'Hits@1': '0.44105', 'Hits@5': '0.71179', 'Hits@10': '0.80568', 'Hits@20': '0.85590', 'Hits@50': '0.89738', 'Hits@100': '0.91921', 'Hits@200': '0.92795'}","{'MRR': '0.57202', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.83889', 'Hits@20': '0.90278', 'Hits@50': '0.95556', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
5,5,"{'MRR': '0.56185', 'Hits@1': '0.44105', 'Hits@5': '0.71179', 'Hits@10': '0.80568', 'Hits@20': '0.85590', 'Hits@50': '0.89738', 'Hits@100': '0.91921', 'Hits@200': '0.92795'}","{'MRR': '0.57202', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.83889', 'Hits@20': '0.90278', 'Hits@50': '0.95556', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
5,6,"{'MRR': '0.56185', 'Hits@1': '0.44105', 'Hits@5': '0.71179', 'Hits@10': '0.80568', 'Hits@20': '0.85590', 'Hits@50': '0.89738', 'Hits@100': '0.91921', 'Hits@200': '0.92795'}","{'MRR': '0.57202', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.83889', 'Hits@20': '0.90278', 'Hits@50': '0.95556', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
10,0,"{'MRR': '0.56199', 'Hits@1': '0.44105', 'Hits@5': '0.71179', 'Hits@10': '0.81659', 'Hits@20': '0.85590', 'Hits@50': '0.89083', 'Hits@100': '0.89956', 'Hits@200': '0.90175'}","{'MRR': '0.56893', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.82778', 'Hits@20': '0.87778', 'Hits@50': '0.92222', 'Hits@100': '0.93333', 'Hits@200': '0.93611'}",98
10,1,"{'MRR': '0.56368', 'Hits@1': '0.44105', 'Hits@5': '0.71179', 'Hits@10': '0.81659', 'Hits@20': '0.87118', 'Hits@50': '0.91266', 'Hits@100': '0.93450', 'Hits@200': '0.94323'}","{'MRR': '0.57107', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.82778', 'Hits@20': '0.89722', 'Hits@50': '0.95000', 'Hits@100': '0.97778', 'Hits@200': '0.98889'}",98
10,2,"{'MRR': '0.56392', 'Hits@1': '0.44105', 'Hits@5': '0.71179', 'Hits@10': '0.81659', 'Hits@20': '0.87336', 'Hits@50': '0.91703', 'Hits@100': '0.93886', 'Hits@200': '0.94760'}","{'MRR': '0.57138', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.82778', 'Hits@20': '0.90000', 'Hits@50': '0.95556', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
10,3,"{'MRR': '0.56392', 'Hits@1': '0.44105', 'Hits@5': '0.71179', 'Hits@10': '0.81659', 'Hits@20': '0.87336', 'Hits@50': '0.91703', 'Hits@100': '0.93886', 'Hits@200': '0.94760'}","{'MRR': '0.57138', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.82778', 'Hits@20': '0.90000', 'Hits@50': '0.95556', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
10,4,"{'MRR': '0.56392', 'Hits@1': '0.44105', 'Hits@5': '0.71179', 'Hits@10': '0.81659', 'Hits@20': '0.87336', 'Hits@50': '0.91703', 'Hits@100': '0.93886', 'Hits@200': '0.94760'}","{'MRR': '0.57138', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.82778', 'Hits@20': '0.90000', 'Hits@50': '0.95556', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
10,5,"{'MRR': '0.56392', 'Hits@1': '0.44105', 'Hits@5': '0.71179', 'Hits@10': '0.81659', 'Hits@20': '0.87336', 'Hits@50': '0.91703', 'Hits@100': '0.93886', 'Hits@200': '0.94760'}","{'MRR': '0.57138', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.82778', 'Hits@20': '0.90000', 'Hits@50': '0.95556', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
10,6,"{'MRR': '0.56392', 'Hits@1': '0.44105', 'Hits@5': '0.71179', 'Hits@10': '0.81659', 'Hits@20': '0.87336', 'Hits@50': '0.91703', 'Hits@100': '0.93886', 'Hits@200': '0.94760'}","{'MRR': '0.57138', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.82778', 'Hits@20': '0.90000', 'Hits@50': '0.95556', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
20,0,"{'MRR': '0.56436', 'Hits@1': '0.44105', 'Hits@5': '0.71179', 'Hits@10': '0.81659', 'Hits@20': '0.88428', 'Hits@50': '0.92140', 'Hits@100': '0.93450', 'Hits@200': '0.94105'}","{'MRR': '0.57054', 'Hits@1': '0.44444', 'Hits@5': '0.71944', 'Hits@10': '0.82778', 'Hits@20': '0.89444', 'Hits@50': '0.94167', 'Hits@100': '0.95833', 'Hits@200': '0.96667'}",98
