Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
Nodes,N/A,"{'MRR': '0.62415', 'Hits@1': '0.50218', 'Hits@5': '0.76638', 'Hits@10': '0.86463', 'Hits@20': '0.91921', 'Hits@50': '0.96070', 'Hits@100': '0.97817', 'Hits@200': '0.99563'}","{'MRR': '0.62962', 'Hits@1': '0.50278', 'Hits@5': '0.77500', 'Hits@10': '0.87778', 'Hits@20': '0.92778', 'Hits@50': '0.96389', 'Hits@100': '0.97778', 'Hits@200': '0.99444'}",98
1,0,"{'MRR': '0.53915', 'Hits@1': '0.50218', 'Hits@5': '0.58297', 'Hits@10': '0.61135', 'Hits@20': '0.62227', 'Hits@50': '0.62882', 'Hits@100': '0.62882', 'Hits@200': '0.62882'}","{'MRR': '0.54981', 'Hits@1': '0.50278', 'Hits@5': '0.60556', 'Hits@10': '0.64167', 'Hits@20': '0.65556', 'Hits@50': '0.66389', 'Hits@100': '0.66389', 'Hits@200': '0.66389'}",98
1,1,"{'MRR': '0.59817', 'Hits@1': '0.50218', 'Hits@5': '0.71616', 'Hits@10': '0.78166', 'Hits@20': '0.81441', 'Hits@50': '0.84061', 'Hits@100': '0.84934', 'Hits@200': '0.85590'}","{'MRR': '0.62490', 'Hits@1': '0.50278', 'Hits@5': '0.77500', 'Hits@10': '0.85833', 'Hits@20': '0.90000', 'Hits@50': '0.93333', 'Hits@100': '0.94444', 'Hits@200': '0.95278'}",98
1,2,"{'MRR': '0.60043', 'Hits@1': '0.50218', 'Hits@5': '0.71616', 'Hits@10': '0.78821', 'Hits@20': '0.82533', 'Hits@50': '0.85808', 'Hits@100': '0.87118', 'Hits@200': '0.87773'}","{'MRR': '0.62777', 'Hits@1': '0.50278', 'Hits@5': '0.77500', 'Hits@10': '0.86667', 'Hits@20': '0.91389', 'Hits@50': '0.95556', 'Hits@100': '0.97222', 'Hits@200': '0.98056'}",98
1,3,"{'MRR': '0.60140', 'Hits@1': '0.50218', 'Hits@5': '0.71834', 'Hits@10': '0.79039', 'Hits@20': '0.82751', 'Hits@50': '0.86026', 'Hits@100': '0.87118', 'Hits@200': '0.87991'}","{'MRR': '0.62900', 'Hits@1': '0.50278', 'Hits@5': '0.77778', 'Hits@10': '0.86944', 'Hits@20': '0.91667', 'Hits@50': '0.95833', 'Hits@100': '0.97222', 'Hits@200': '0.98333'}",98
1,4,"{'MRR': '0.60140', 'Hits@1': '0.50218', 'Hits@5': '0.71834', 'Hits@10': '0.79039', 'Hits@20': '0.82751', 'Hits@50': '0.86026', 'Hits@100': '0.87118', 'Hits@200': '0.87991'}","{'MRR': '0.62900', 'Hits@1': '0.50278', 'Hits@5': '0.77778', 'Hits@10': '0.86944', 'Hits@20': '0.91667', 'Hits@50': '0.95833', 'Hits@100': '0.97222', 'Hits@200': '0.98333'}",98
1,5,"{'MRR': '0.60140', 'Hits@1': '0.50218', 'Hits@5': '0.71834', 'Hits@10': '0.79039', 'Hits@20': '0.82751', 'Hits@50': '0.86026', 'Hits@100': '0.87118', 'Hits@200': '0.87991'}","{'MRR': '0.62900', 'Hits@1': '0.50278', 'Hits@5': '0.77778', 'Hits@10': '0.86944', 'Hits@20': '0.91667', 'Hits@50': '0.95833', 'Hits@100': '0.97222', 'Hits@200': '0.98333'}",98
1,6,"{'MRR': '0.60140', 'Hits@1': '0.50218', 'Hits@5': '0.71834', 'Hits@10': '0.79039', 'Hits@20': '0.82751', 'Hits@50': '0.86026', 'Hits@100': '0.87118', 'Hits@200': '0.87991'}","{'MRR': '0.62900', 'Hits@1': '0.50278', 'Hits@5': '0.77778', 'Hits@10': '0.86944', 'Hits@20': '0.91667', 'Hits@50': '0.95833', 'Hits@100': '0.97222', 'Hits@200': '0.98333'}",98
3,0,"{'MRR': '0.60811', 'Hits@1': '0.50218', 'Hits@5': '0.75109', 'Hits@10': '0.78603', 'Hits@20': '0.80786', 'Hits@50': '0.82314', 'Hits@100': '0.82314', 'Hits@200': '0.82314'}","{'MRR': '0.61856', 'Hits@1': '0.50278', 'Hits@5': '0.77500', 'Hits@10': '0.81944', 'Hits@20': '0.84722', 'Hits@50': '0.86667', 'Hits@100': '0.86667', 'Hits@200': '0.86667'}",98
3,1,"{'MRR': '0.61720', 'Hits@1': '0.50218', 'Hits@5': '0.75546', 'Hits@10': '0.83406', 'Hits@20': '0.86900', 'Hits@50': '0.89738', 'Hits@100': '0.91048', 'Hits@200': '0.91703'}","{'MRR': '0.63013', 'Hits@1': '0.50278', 'Hits@5': '0.78056', 'Hits@10': '0.88056', 'Hits@20': '0.92500', 'Hits@50': '0.96111', 'Hits@100': '0.97778', 'Hits@200': '0.98611'}",98
3,2,"{'MRR': '0.61764', 'Hits@1': '0.50218', 'Hits@5': '0.75546', 'Hits@10': '0.83406', 'Hits@20': '0.87118', 'Hits@50': '0.90393', 'Hits@100': '0.91485', 'Hits@200': '0.92358'}","{'MRR': '0.63068', 'Hits@1': '0.50278', 'Hits@5': '0.78056', 'Hits@10': '0.88056', 'Hits@20': '0.92778', 'Hits@50': '0.96944', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
3,3,"{'MRR': '0.61764', 'Hits@1': '0.50218', 'Hits@5': '0.75546', 'Hits@10': '0.83406', 'Hits@20': '0.87118', 'Hits@50': '0.90393', 'Hits@100': '0.91485', 'Hits@200': '0.92358'}","{'MRR': '0.63068', 'Hits@1': '0.50278', 'Hits@5': '0.78056', 'Hits@10': '0.88056', 'Hits@20': '0.92778', 'Hits@50': '0.96944', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
3,4,"{'MRR': '0.61764', 'Hits@1': '0.50218', 'Hits@5': '0.75546', 'Hits@10': '0.83406', 'Hits@20': '0.87118', 'Hits@50': '0.90393', 'Hits@100': '0.91485', 'Hits@200': '0.92358'}","{'MRR': '0.63068', 'Hits@1': '0.50278', 'Hits@5': '0.78056', 'Hits@10': '0.88056', 'Hits@20': '0.92778', 'Hits@50': '0.96944', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
3,5,"{'MRR': '0.61764', 'Hits@1': '0.50218', 'Hits@5': '0.75546', 'Hits@10': '0.83406', 'Hits@20': '0.87118', 'Hits@50': '0.90393', 'Hits@100': '0.91485', 'Hits@200': '0.92358'}","{'MRR': '0.63068', 'Hits@1': '0.50278', 'Hits@5': '0.78056', 'Hits@10': '0.88056', 'Hits@20': '0.92778', 'Hits@50': '0.96944', 'Hits@100': '0.98333', 'Hits@200': '0.99444'}",98
