Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
Nodes,N/A,"{'MRR': '0.63424', 'Hits@1': '0.51185', 'Hits@5': '0.78910', 'Hits@10': '0.88389', 'Hits@20': '0.93009', 'Hits@50': '0.96209', 'Hits@100': '0.98460', 'Hits@200': '0.99052'}","{'MRR': '0.64067', 'Hits@1': '0.52340', 'Hits@5': '0.79149', 'Hits@10': '0.88085', 'Hits@20': '0.92766', 'Hits@50': '0.96028', 'Hits@100': '0.98440', 'Hits@200': '0.99149'}",139
1,0,"{'MRR': '0.55650', 'Hits@1': '0.51185', 'Hits@5': '0.61256', 'Hits@10': '0.63389', 'Hits@20': '0.64100', 'Hits@50': '0.64218', 'Hits@100': '0.64336', 'Hits@200': '0.64455'}","{'MRR': '0.57686', 'Hits@1': '0.52340', 'Hits@5': '0.64397', 'Hits@10': '0.66950', 'Hits@20': '0.67801', 'Hits@50': '0.67943', 'Hits@100': '0.68085', 'Hits@200': '0.68227'}",139
1,1,"{'MRR': '0.59899', 'Hits@1': '0.51185', 'Hits@5': '0.71564', 'Hits@10': '0.77014', 'Hits@20': '0.80095', 'Hits@50': '0.81991', 'Hits@100': '0.82938', 'Hits@200': '0.83175'}","{'MRR': '0.62773', 'Hits@1': '0.52340', 'Hits@5': '0.76738', 'Hits@10': '0.83262', 'Hits@20': '0.86950', 'Hits@50': '0.89220', 'Hits@100': '0.90355', 'Hits@200': '0.90638'}",139
1,2,"{'MRR': '0.60489', 'Hits@1': '0.51185', 'Hits@5': '0.72749', 'Hits@10': '0.78910', 'Hits@20': '0.82701', 'Hits@50': '0.85427', 'Hits@100': '0.86967', 'Hits@200': '0.87204'}","{'MRR': '0.63479', 'Hits@1': '0.52340', 'Hits@5': '0.78156', 'Hits@10': '0.85532', 'Hits@20': '0.90071', 'Hits@50': '0.93333', 'Hits@100': '0.95177', 'Hits@200': '0.95461'}",139
1,3,"{'MRR': '0.60724', 'Hits@1': '0.51185', 'Hits@5': '0.73223', 'Hits@10': '0.79502', 'Hits@20': '0.83294', 'Hits@50': '0.86137', 'Hits@100': '0.87678', 'Hits@200': '0.87915'}","{'MRR': '0.63760', 'Hits@1': '0.52340', 'Hits@5': '0.78723', 'Hits@10': '0.86241', 'Hits@20': '0.90780', 'Hits@50': '0.94184', 'Hits@100': '0.96028', 'Hits@200': '0.96312'}",139
1,4,"{'MRR': '0.60724', 'Hits@1': '0.51185', 'Hits@5': '0.73223', 'Hits@10': '0.79502', 'Hits@20': '0.83294', 'Hits@50': '0.86137', 'Hits@100': '0.87678', 'Hits@200': '0.87915'}","{'MRR': '0.63760', 'Hits@1': '0.52340', 'Hits@5': '0.78723', 'Hits@10': '0.86241', 'Hits@20': '0.90780', 'Hits@50': '0.94184', 'Hits@100': '0.96028', 'Hits@200': '0.96312'}",139
1,5,"{'MRR': '0.60724', 'Hits@1': '0.51185', 'Hits@5': '0.73223', 'Hits@10': '0.79502', 'Hits@20': '0.83294', 'Hits@50': '0.86137', 'Hits@100': '0.87678', 'Hits@200': '0.87915'}","{'MRR': '0.63760', 'Hits@1': '0.52340', 'Hits@5': '0.78723', 'Hits@10': '0.86241', 'Hits@20': '0.90780', 'Hits@50': '0.94184', 'Hits@100': '0.96028', 'Hits@200': '0.96312'}",139
1,6,"{'MRR': '0.60724', 'Hits@1': '0.51185', 'Hits@5': '0.73223', 'Hits@10': '0.79502', 'Hits@20': '0.83294', 'Hits@50': '0.86137', 'Hits@100': '0.87678', 'Hits@200': '0.87915'}","{'MRR': '0.63760', 'Hits@1': '0.52340', 'Hits@5': '0.78723', 'Hits@10': '0.86241', 'Hits@20': '0.90780', 'Hits@50': '0.94184', 'Hits@100': '0.96028', 'Hits@200': '0.96312'}",139
3,0,"{'MRR': '0.61518', 'Hits@1': '0.51185', 'Hits@5': '0.74408', 'Hits@10': '0.79384', 'Hits@20': '0.80924', 'Hits@50': '0.81635', 'Hits@100': '0.81754', 'Hits@200': '0.81872'}","{'MRR': '0.62536', 'Hits@1': '0.52340', 'Hits@5': '0.75319', 'Hits@10': '0.81277', 'Hits@20': '0.83121', 'Hits@50': '0.83972', 'Hits@100': '0.84113', 'Hits@200': '0.84255'}",139
3,1,"{'MRR': '0.62766', 'Hits@1': '0.51185', 'Hits@5': '0.78318', 'Hits@10': '0.84479', 'Hits@20': '0.88270', 'Hits@50': '0.90877', 'Hits@100': '0.92299', 'Hits@200': '0.92417'}","{'MRR': '0.64030', 'Hits@1': '0.52340', 'Hits@5': '0.80000', 'Hits@10': '0.87376', 'Hits@20': '0.91915', 'Hits@50': '0.95035', 'Hits@100': '0.96738', 'Hits@200': '0.96879'}",139
