Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
Nodes,N/A,"{'MRR': '0.47541', 'Hits@1': '0.37559', 'Hits@5': '0.58886', 'Hits@10': '0.66706', 'Hits@20': '0.72986', 'Hits@50': '0.80332', 'Hits@100': '0.84953', 'Hits@200': '0.89573'}","{'MRR': '0.48324', 'Hits@1': '0.38582', 'Hits@5': '0.59574', 'Hits@10': '0.67234', 'Hits@20': '0.73617', 'Hits@50': '0.81702', 'Hits@100': '0.86099', 'Hits@200': '0.90213'}",139
1,0,"{'MRR': '0.41103', 'Hits@1': '0.37559', 'Hits@5': '0.44905', 'Hits@10': '0.47393', 'Hits@20': '0.49052', 'Hits@50': '0.50355', 'Hits@100': '0.51303', 'Hits@200': '0.51659'}","{'MRR': '0.42824', 'Hits@1': '0.38582', 'Hits@5': '0.47376', 'Hits@10': '0.50355', 'Hits@20': '0.52340', 'Hits@50': '0.53901', 'Hits@100': '0.55035', 'Hits@200': '0.55461'}",139
1,1,"{'MRR': '0.44558', 'Hits@1': '0.37559', 'Hits@5': '0.52725', 'Hits@10': '0.57583', 'Hits@20': '0.61730', 'Hits@50': '0.66588', 'Hits@100': '0.68720', 'Hits@200': '0.70972'}","{'MRR': '0.46960', 'Hits@1': '0.38582', 'Hits@5': '0.56738', 'Hits@10': '0.62553', 'Hits@20': '0.67518', 'Hits@50': '0.73333', 'Hits@100': '0.75887', 'Hits@200': '0.78582'}",139
1,2,"{'MRR': '0.45332', 'Hits@1': '0.37559', 'Hits@5': '0.54502', 'Hits@10': '0.59953', 'Hits@20': '0.64692', 'Hits@50': '0.70142', 'Hits@100': '0.73578', 'Hits@200': '0.76185'}","{'MRR': '0.47887', 'Hits@1': '0.38582', 'Hits@5': '0.58865', 'Hits@10': '0.65390', 'Hits@20': '0.71064', 'Hits@50': '0.77589', 'Hits@100': '0.81702', 'Hits@200': '0.84823'}",139
1,3,"{'MRR': '0.45444', 'Hits@1': '0.37559', 'Hits@5': '0.54621', 'Hits@10': '0.60190', 'Hits@20': '0.64929', 'Hits@50': '0.70498', 'Hits@100': '0.73934', 'Hits@200': '0.76659'}","{'MRR': '0.48021', 'Hits@1': '0.38582', 'Hits@5': '0.59007', 'Hits@10': '0.65674', 'Hits@20': '0.71348', 'Hits@50': '0.78014', 'Hits@100': '0.82128', 'Hits@200': '0.85390'}",139
1,4,"{'MRR': '0.45444', 'Hits@1': '0.37559', 'Hits@5': '0.54621', 'Hits@10': '0.60190', 'Hits@20': '0.64929', 'Hits@50': '0.70498', 'Hits@100': '0.73934', 'Hits@200': '0.76659'}","{'MRR': '0.48021', 'Hits@1': '0.38582', 'Hits@5': '0.59007', 'Hits@10': '0.65674', 'Hits@20': '0.71348', 'Hits@50': '0.78014', 'Hits@100': '0.82128', 'Hits@200': '0.85390'}",139
1,5,"{'MRR': '0.45444', 'Hits@1': '0.37559', 'Hits@5': '0.54621', 'Hits@10': '0.60190', 'Hits@20': '0.64929', 'Hits@50': '0.70498', 'Hits@100': '0.73934', 'Hits@200': '0.76659'}","{'MRR': '0.48021', 'Hits@1': '0.38582', 'Hits@5': '0.59007', 'Hits@10': '0.65674', 'Hits@20': '0.71348', 'Hits@50': '0.78014', 'Hits@100': '0.82128', 'Hits@200': '0.85390'}",139
1,6,"{'MRR': '0.45444', 'Hits@1': '0.37559', 'Hits@5': '0.54621', 'Hits@10': '0.60190', 'Hits@20': '0.64929', 'Hits@50': '0.70498', 'Hits@100': '0.73934', 'Hits@200': '0.76659'}","{'MRR': '0.48021', 'Hits@1': '0.38582', 'Hits@5': '0.59007', 'Hits@10': '0.65674', 'Hits@20': '0.71348', 'Hits@50': '0.78014', 'Hits@100': '0.82128', 'Hits@200': '0.85390'}",139
3,0,"{'MRR': '0.46136', 'Hits@1': '0.37559', 'Hits@5': '0.56635', 'Hits@10': '0.60782', 'Hits@20': '0.63507', 'Hits@50': '0.67417', 'Hits@100': '0.68720', 'Hits@200': '0.70261'}","{'MRR': '0.47195', 'Hits@1': '0.38582', 'Hits@5': '0.57730', 'Hits@10': '0.62695', 'Hits@20': '0.65957', 'Hits@50': '0.70638', 'Hits@100': '0.72199', 'Hits@200': '0.74043'}",139
3,1,"{'MRR': '0.47047', 'Hits@1': '0.37559', 'Hits@5': '0.58531', 'Hits@10': '0.64336', 'Hits@20': '0.69550', 'Hits@50': '0.75118', 'Hits@100': '0.78673', 'Hits@200': '0.81043'}","{'MRR': '0.48286', 'Hits@1': '0.38582', 'Hits@5': '0.60000', 'Hits@10': '0.66950', 'Hits@20': '0.73191', 'Hits@50': '0.79858', 'Hits@100': '0.84113', 'Hits@200': '0.86950'}",139
3,2,"{'MRR': '0.47163', 'Hits@1': '0.37559', 'Hits@5': '0.58531', 'Hits@10': '0.64810', 'Hits@20': '0.70261', 'Hits@50': '0.76540', 'Hits@100': '0.80450', 'Hits@200': '0.83531'}","{'MRR': '0.48424', 'Hits@1': '0.38582', 'Hits@5': '0.60000', 'Hits@10': '0.67518', 'Hits@20': '0.74043', 'Hits@50': '0.81560', 'Hits@100': '0.86241', 'Hits@200': '0.89929'}",139
3,3,"{'MRR': '0.47161', 'Hits@1': '0.37559', 'Hits@5': '0.58531', 'Hits@10': '0.64810', 'Hits@20': '0.70261', 'Hits@50': '0.76540', 'Hits@100': '0.80450', 'Hits@200': '0.83531'}","{'MRR': '0.48421', 'Hits@1': '0.38582', 'Hits@5': '0.60000', 'Hits@10': '0.67518', 'Hits@20': '0.74043', 'Hits@50': '0.81560', 'Hits@100': '0.86241', 'Hits@200': '0.89929'}",139
3,4,"{'MRR': '0.47161', 'Hits@1': '0.37559', 'Hits@5': '0.58531', 'Hits@10': '0.64810', 'Hits@20': '0.70261', 'Hits@50': '0.76540', 'Hits@100': '0.80450', 'Hits@200': '0.83531'}","{'MRR': '0.48421', 'Hits@1': '0.38582', 'Hits@5': '0.60000', 'Hits@10': '0.67518', 'Hits@20': '0.74043', 'Hits@50': '0.81560', 'Hits@100': '0.86241', 'Hits@200': '0.89929'}",139
3,5,"{'MRR': '0.47161', 'Hits@1': '0.37559', 'Hits@5': '0.58531', 'Hits@10': '0.64810', 'Hits@20': '0.70261', 'Hits@50': '0.76540', 'Hits@100': '0.80450', 'Hits@200': '0.83531'}","{'MRR': '0.48421', 'Hits@1': '0.38582', 'Hits@5': '0.60000', 'Hits@10': '0.67518', 'Hits@20': '0.74043', 'Hits@50': '0.81560', 'Hits@100': '0.86241', 'Hits@200': '0.89929'}",139
3,6,"{'MRR': '0.47161', 'Hits@1': '0.37559', 'Hits@5': '0.58531', 'Hits@10': '0.64810', 'Hits@20': '0.70261', 'Hits@50': '0.76540', 'Hits@100': '0.80450', 'Hits@200': '0.83531'}","{'MRR': '0.48421', 'Hits@1': '0.38582', 'Hits@5': '0.60000', 'Hits@10': '0.67518', 'Hits@20': '0.74043', 'Hits@50': '0.81560', 'Hits@100': '0.86241', 'Hits@200': '0.89929'}",139
5,0,"{'MRR': '0.46829', 'Hits@1': '0.37559', 'Hits@5': '0.58886', 'Hits@10': '0.63626', 'Hits@20': '0.67417', 'Hits@50': '0.72038', 'Hits@100': '0.73815', 'Hits@200': '0.75948'}","{'MRR': '0.47839', 'Hits@1': '0.38582', 'Hits@5': '0.59574', 'Hits@10': '0.65248', 'Hits@20': '0.69787', 'Hits@50': '0.75319', 'Hits@100': '0.77447', 'Hits@200': '0.80000'}",139
5,1,"{'MRR': '0.47233', 'Hits@1': '0.37559', 'Hits@5': '0.58886', 'Hits@10': '0.65284', 'Hits@20': '0.70498', 'Hits@50': '0.76777', 'Hits@100': '0.80450', 'Hits@200': '0.83412'}","{'MRR': '0.48324', 'Hits@1': '0.38582', 'Hits@5': '0.59574', 'Hits@10': '0.67234', 'Hits@20': '0.73475', 'Hits@50': '0.80993', 'Hits@100': '0.85390', 'Hits@200': '0.88936'}",139
