Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
Nodes,N/A,"{'MRR': '0.65954', 'Hits@1': '0.53199', 'Hits@5': '0.81991', 'Hits@10': '0.89810', 'Hits@20': '0.94550', 'Hits@50': '0.97512', 'Hits@100': '0.98460', 'Hits@200': '0.98934'}","{'MRR': '0.66866', 'Hits@1': '0.54468', 'Hits@5': '0.82411', 'Hits@10': '0.89929', 'Hits@20': '0.94468', 'Hits@50': '0.97730', 'Hits@100': '0.98582', 'Hits@200': '0.99007'}",139
1,0,"{'MRR': '0.58567', 'Hits@1': '0.53199', 'Hits@5': '0.65166', 'Hits@10': '0.67536', 'Hits@20': '0.67891', 'Hits@50': '0.67891', 'Hits@100': '0.68128', 'Hits@200': '0.68128'}","{'MRR': '0.60894', 'Hits@1': '0.54468', 'Hits@5': '0.68794', 'Hits@10': '0.71631', 'Hits@20': '0.72057', 'Hits@50': '0.72057', 'Hits@100': '0.72340', 'Hits@200': '0.72340'}",139
1,1,"{'MRR': '0.62510', 'Hits@1': '0.53199', 'Hits@5': '0.74289', 'Hits@10': '0.80213', 'Hits@20': '0.83175', 'Hits@50': '0.84716', 'Hits@100': '0.85071', 'Hits@200': '0.85545'}","{'MRR': '0.65614', 'Hits@1': '0.54468', 'Hits@5': '0.79716', 'Hits@10': '0.86809', 'Hits@20': '0.90355', 'Hits@50': '0.92199', 'Hits@100': '0.92624', 'Hits@200': '0.93191'}",139
1,2,"{'MRR': '0.63253', 'Hits@1': '0.53199', 'Hits@5': '0.75948', 'Hits@10': '0.82109', 'Hits@20': '0.85427', 'Hits@50': '0.88033', 'Hits@100': '0.88507', 'Hits@200': '0.89100'}","{'MRR': '0.66504', 'Hits@1': '0.54468', 'Hits@5': '0.81702', 'Hits@10': '0.89078', 'Hits@20': '0.93050', 'Hits@50': '0.96170', 'Hits@100': '0.96738', 'Hits@200': '0.97447'}",139
1,3,"{'MRR': '0.63354', 'Hits@1': '0.53199', 'Hits@5': '0.76185', 'Hits@10': '0.82346', 'Hits@20': '0.85664', 'Hits@50': '0.88389', 'Hits@100': '0.88863', 'Hits@200': '0.89455'}","{'MRR': '0.66625', 'Hits@1': '0.54468', 'Hits@5': '0.81986', 'Hits@10': '0.89362', 'Hits@20': '0.93333', 'Hits@50': '0.96596', 'Hits@100': '0.97163', 'Hits@200': '0.97872'}",139
1,4,"{'MRR': '0.63354', 'Hits@1': '0.53199', 'Hits@5': '0.76185', 'Hits@10': '0.82346', 'Hits@20': '0.85664', 'Hits@50': '0.88389', 'Hits@100': '0.88863', 'Hits@200': '0.89455'}","{'MRR': '0.66625', 'Hits@1': '0.54468', 'Hits@5': '0.81986', 'Hits@10': '0.89362', 'Hits@20': '0.93333', 'Hits@50': '0.96596', 'Hits@100': '0.97163', 'Hits@200': '0.97872'}",139
1,5,"{'MRR': '0.63354', 'Hits@1': '0.53199', 'Hits@5': '0.76185', 'Hits@10': '0.82346', 'Hits@20': '0.85664', 'Hits@50': '0.88389', 'Hits@100': '0.88863', 'Hits@200': '0.89455'}","{'MRR': '0.66625', 'Hits@1': '0.54468', 'Hits@5': '0.81986', 'Hits@10': '0.89362', 'Hits@20': '0.93333', 'Hits@50': '0.96596', 'Hits@100': '0.97163', 'Hits@200': '0.97872'}",139
1,6,"{'MRR': '0.63354', 'Hits@1': '0.53199', 'Hits@5': '0.76185', 'Hits@10': '0.82346', 'Hits@20': '0.85664', 'Hits@50': '0.88389', 'Hits@100': '0.88863', 'Hits@200': '0.89455'}","{'MRR': '0.66625', 'Hits@1': '0.54468', 'Hits@5': '0.81986', 'Hits@10': '0.89362', 'Hits@20': '0.93333', 'Hits@50': '0.96596', 'Hits@100': '0.97163', 'Hits@200': '0.97872'}",139
3,0,"{'MRR': '0.64567', 'Hits@1': '0.53199', 'Hits@5': '0.79502', 'Hits@10': '0.83294', 'Hits@20': '0.85190', 'Hits@50': '0.85190', 'Hits@100': '0.85545', 'Hits@200': '0.85545'}","{'MRR': '0.65926', 'Hits@1': '0.54468', 'Hits@5': '0.81135', 'Hits@10': '0.85674', 'Hits@20': '0.87943', 'Hits@50': '0.87943', 'Hits@100': '0.88369', 'Hits@200': '0.88369'}",139
3,1,"{'MRR': '0.65265', 'Hits@1': '0.53199', 'Hits@5': '0.80569', 'Hits@10': '0.86611', 'Hits@20': '0.89810', 'Hits@50': '0.92299', 'Hits@100': '0.92773', 'Hits@200': '0.93128'}","{'MRR': '0.66762', 'Hits@1': '0.54468', 'Hits@5': '0.82411', 'Hits@10': '0.89645', 'Hits@20': '0.93475', 'Hits@50': '0.96454', 'Hits@100': '0.97021', 'Hits@200': '0.97447'}",139
