Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
Nodes,N/A,"{'MRR': '0.58173', 'Hits@1': '0.46564', 'Hits@5': '0.71327', 'Hits@10': '0.82346', 'Hits@20': '0.90403', 'Hits@50': '0.94787', 'Hits@100': '0.97038', 'Hits@200': '0.98460'}","{'MRR': '0.59704', 'Hits@1': '0.48511', 'Hits@5': '0.72199', 'Hits@10': '0.82979', 'Hits@20': '0.90355', 'Hits@50': '0.95035', 'Hits@100': '0.97163', 'Hits@200': '0.98723'}",139
1,0,"{'MRR': '0.51166', 'Hits@1': '0.46564', 'Hits@5': '0.57109', 'Hits@10': '0.59242', 'Hits@20': '0.60900', 'Hits@50': '0.61611', 'Hits@100': '0.61611', 'Hits@200': '0.61611'}","{'MRR': '0.54020', 'Hits@1': '0.48511', 'Hits@5': '0.61135', 'Hits@10': '0.63688', 'Hits@20': '0.65674', 'Hits@50': '0.66525', 'Hits@100': '0.66525', 'Hits@200': '0.66525'}",139
1,1,"{'MRR': '0.54624', 'Hits@1': '0.46564', 'Hits@5': '0.63863', 'Hits@10': '0.70735', 'Hits@20': '0.75355', 'Hits@50': '0.78555', 'Hits@100': '0.79858', 'Hits@200': '0.81161'}","{'MRR': '0.58159', 'Hits@1': '0.48511', 'Hits@5': '0.69220', 'Hits@10': '0.77447', 'Hits@20': '0.82979', 'Hits@50': '0.86809', 'Hits@100': '0.88369', 'Hits@200': '0.89929'}",139
1,2,"{'MRR': '0.55526', 'Hits@1': '0.46564', 'Hits@5': '0.65758', 'Hits@10': '0.74408', 'Hits@20': '0.79621', 'Hits@50': '0.83412', 'Hits@100': '0.84953', 'Hits@200': '0.86256'}","{'MRR': '0.59239', 'Hits@1': '0.48511', 'Hits@5': '0.71489', 'Hits@10': '0.81844', 'Hits@20': '0.88085', 'Hits@50': '0.92624', 'Hits@100': '0.94468', 'Hits@200': '0.96028'}",139
1,3,"{'MRR': '0.55602', 'Hits@1': '0.46564', 'Hits@5': '0.65995', 'Hits@10': '0.74408', 'Hits@20': '0.79976', 'Hits@50': '0.83886', 'Hits@100': '0.85427', 'Hits@200': '0.86848'}","{'MRR': '0.59331', 'Hits@1': '0.48511', 'Hits@5': '0.71773', 'Hits@10': '0.81844', 'Hits@20': '0.88511', 'Hits@50': '0.93191', 'Hits@100': '0.95035', 'Hits@200': '0.96738'}",139
1,4,"{'MRR': '0.55602', 'Hits@1': '0.46564', 'Hits@5': '0.65995', 'Hits@10': '0.74408', 'Hits@20': '0.79976', 'Hits@50': '0.83886', 'Hits@100': '0.85427', 'Hits@200': '0.86848'}","{'MRR': '0.59331', 'Hits@1': '0.48511', 'Hits@5': '0.71773', 'Hits@10': '0.81844', 'Hits@20': '0.88511', 'Hits@50': '0.93191', 'Hits@100': '0.95035', 'Hits@200': '0.96738'}",139
1,5,"{'MRR': '0.55602', 'Hits@1': '0.46564', 'Hits@5': '0.65995', 'Hits@10': '0.74408', 'Hits@20': '0.79976', 'Hits@50': '0.83886', 'Hits@100': '0.85427', 'Hits@200': '0.86848'}","{'MRR': '0.59331', 'Hits@1': '0.48511', 'Hits@5': '0.71773', 'Hits@10': '0.81844', 'Hits@20': '0.88511', 'Hits@50': '0.93191', 'Hits@100': '0.95035', 'Hits@200': '0.96738'}",139
1,6,"{'MRR': '0.55602', 'Hits@1': '0.46564', 'Hits@5': '0.65995', 'Hits@10': '0.74408', 'Hits@20': '0.79976', 'Hits@50': '0.83886', 'Hits@100': '0.85427', 'Hits@200': '0.86848'}","{'MRR': '0.59331', 'Hits@1': '0.48511', 'Hits@5': '0.71773', 'Hits@10': '0.81844', 'Hits@20': '0.88511', 'Hits@50': '0.93191', 'Hits@100': '0.95035', 'Hits@200': '0.96738'}",139
3,0,"{'MRR': '0.56145', 'Hits@1': '0.46564', 'Hits@5': '0.68483', 'Hits@10': '0.73460', 'Hits@20': '0.75829', 'Hits@50': '0.77607', 'Hits@100': '0.77725', 'Hits@200': '0.77725'}","{'MRR': '0.58232', 'Hits@1': '0.48511', 'Hits@5': '0.70780', 'Hits@10': '0.76738', 'Hits@20': '0.79574', 'Hits@50': '0.81702', 'Hits@100': '0.81844', 'Hits@200': '0.81844'}",139
3,1,"{'MRR': '0.57201', 'Hits@1': '0.46564', 'Hits@5': '0.69668', 'Hits@10': '0.78081', 'Hits@20': '0.83294', 'Hits@50': '0.86967', 'Hits@100': '0.88507', 'Hits@200': '0.90047'}","{'MRR': '0.59496', 'Hits@1': '0.48511', 'Hits@5': '0.72199', 'Hits@10': '0.82270', 'Hits@20': '0.88511', 'Hits@50': '0.92908', 'Hits@100': '0.94752', 'Hits@200': '0.96596'}",139
