Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
Nodes,N/A,"{'MRR': '0.62056', 'Hits@1': '0.49763', 'Hits@5': '0.77251', 'Hits@10': '0.85190', 'Hits@20': '0.92299', 'Hits@50': '0.96445', 'Hits@100': '0.97867', 'Hits@200': '0.98460'}","{'MRR': '0.63441', 'Hits@1': '0.51489', 'Hits@5': '0.77730', 'Hits@10': '0.85957', 'Hits@20': '0.92766', 'Hits@50': '0.96596', 'Hits@100': '0.98014', 'Hits@200': '0.98723'}",139
1,0,"{'MRR': '0.54473', 'Hits@1': '0.49763', 'Hits@5': '0.60782', 'Hits@10': '0.62796', 'Hits@20': '0.64100', 'Hits@50': '0.64810', 'Hits@100': '0.64810', 'Hits@200': '0.64810'}","{'MRR': '0.57128', 'Hits@1': '0.51489', 'Hits@5': '0.64681', 'Hits@10': '0.67092', 'Hits@20': '0.68652', 'Hits@50': '0.69504', 'Hits@100': '0.69504', 'Hits@200': '0.69504'}",139
1,1,"{'MRR': '0.58717', 'Hits@1': '0.49763', 'Hits@5': '0.69194', 'Hits@10': '0.75474', 'Hits@20': '0.79384', 'Hits@50': '0.81872', 'Hits@100': '0.82820', 'Hits@200': '0.83649'}","{'MRR': '0.62209', 'Hits@1': '0.51489', 'Hits@5': '0.74752', 'Hits@10': '0.82270', 'Hits@20': '0.86950', 'Hits@50': '0.89929', 'Hits@100': '0.91064', 'Hits@200': '0.92057'}",139
1,2,"{'MRR': '0.59484', 'Hits@1': '0.49763', 'Hits@5': '0.71090', 'Hits@10': '0.77725', 'Hits@20': '0.82583', 'Hits@50': '0.85782', 'Hits@100': '0.86730', 'Hits@200': '0.87322'}","{'MRR': '0.63127', 'Hits@1': '0.51489', 'Hits@5': '0.77021', 'Hits@10': '0.84965', 'Hits@20': '0.90780', 'Hits@50': '0.94610', 'Hits@100': '0.95745', 'Hits@200': '0.96454'}",139
1,3,"{'MRR': '0.59537', 'Hits@1': '0.49763', 'Hits@5': '0.71209', 'Hits@10': '0.77844', 'Hits@20': '0.82820', 'Hits@50': '0.86019', 'Hits@100': '0.86967', 'Hits@200': '0.87678'}","{'MRR': '0.63190', 'Hits@1': '0.51489', 'Hits@5': '0.77163', 'Hits@10': '0.85106', 'Hits@20': '0.91064', 'Hits@50': '0.94894', 'Hits@100': '0.96028', 'Hits@200': '0.96879'}",139
1,4,"{'MRR': '0.59537', 'Hits@1': '0.49763', 'Hits@5': '0.71209', 'Hits@10': '0.77844', 'Hits@20': '0.82820', 'Hits@50': '0.86019', 'Hits@100': '0.86967', 'Hits@200': '0.87678'}","{'MRR': '0.63190', 'Hits@1': '0.51489', 'Hits@5': '0.77163', 'Hits@10': '0.85106', 'Hits@20': '0.91064', 'Hits@50': '0.94894', 'Hits@100': '0.96028', 'Hits@200': '0.96879'}",139
1,5,"{'MRR': '0.59537', 'Hits@1': '0.49763', 'Hits@5': '0.71209', 'Hits@10': '0.77844', 'Hits@20': '0.82820', 'Hits@50': '0.86019', 'Hits@100': '0.86967', 'Hits@200': '0.87678'}","{'MRR': '0.63190', 'Hits@1': '0.51489', 'Hits@5': '0.77163', 'Hits@10': '0.85106', 'Hits@20': '0.91064', 'Hits@50': '0.94894', 'Hits@100': '0.96028', 'Hits@200': '0.96879'}",139
1,6,"{'MRR': '0.59537', 'Hits@1': '0.49763', 'Hits@5': '0.71209', 'Hits@10': '0.77844', 'Hits@20': '0.82820', 'Hits@50': '0.86019', 'Hits@100': '0.86967', 'Hits@200': '0.87678'}","{'MRR': '0.63190', 'Hits@1': '0.51489', 'Hits@5': '0.77163', 'Hits@10': '0.85106', 'Hits@20': '0.91064', 'Hits@50': '0.94894', 'Hits@100': '0.96028', 'Hits@200': '0.96879'}",139
3,0,"{'MRR': '0.60172', 'Hits@1': '0.49763', 'Hits@5': '0.73223', 'Hits@10': '0.77133', 'Hits@20': '0.79739', 'Hits@50': '0.80806', 'Hits@100': '0.81161', 'Hits@200': '0.81161'}","{'MRR': '0.62083', 'Hits@1': '0.51489', 'Hits@5': '0.75319', 'Hits@10': '0.80000', 'Hits@20': '0.83121', 'Hits@50': '0.84397', 'Hits@100': '0.84823', 'Hits@200': '0.84823'}",139
3,1,"{'MRR': '0.61115', 'Hits@1': '0.49763', 'Hits@5': '0.74645', 'Hits@10': '0.81398', 'Hits@20': '0.86137', 'Hits@50': '0.89100', 'Hits@100': '0.90047', 'Hits@200': '0.90640'}","{'MRR': '0.63212', 'Hits@1': '0.51489', 'Hits@5': '0.77021', 'Hits@10': '0.85106', 'Hits@20': '0.90780', 'Hits@50': '0.94326', 'Hits@100': '0.95461', 'Hits@200': '0.96170'}",139
