Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
Nodes,N/A,"{'MRR': '0.69618', 'Hits@1': '0.56522', 'Hits@5': '0.87291', 'Hits@10': '0.93980', 'Hits@20': '0.96990', 'Hits@50': '1.00000', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}","{'MRR': '0.72804', 'Hits@1': '0.61181', 'Hits@5': '0.88608', 'Hits@10': '0.95359', 'Hits@20': '0.97890', 'Hits@50': '1.00000', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
1,0,"{'MRR': '0.61099', 'Hits@1': '0.56522', 'Hits@5': '0.67224', 'Hits@10': '0.68562', 'Hits@20': '0.68562', 'Hits@50': '0.68562', 'Hits@100': '0.68562', 'Hits@200': '0.68562'}","{'MRR': '0.66955', 'Hits@1': '0.61181', 'Hits@5': '0.74684', 'Hits@10': '0.76371', 'Hits@20': '0.76371', 'Hits@50': '0.76371', 'Hits@100': '0.76371', 'Hits@200': '0.76371'}",62
1,1,"{'MRR': '0.64773', 'Hits@1': '0.56522', 'Hits@5': '0.76254', 'Hits@10': '0.79599', 'Hits@20': '0.81271', 'Hits@50': '0.81605', 'Hits@100': '0.81605', 'Hits@200': '0.81605'}","{'MRR': '0.71591', 'Hits@1': '0.61181', 'Hits@5': '0.86076', 'Hits@10': '0.90295', 'Hits@20': '0.92405', 'Hits@50': '0.92827', 'Hits@100': '0.92827', 'Hits@200': '0.92827'}",62
1,2,"{'MRR': '0.65662', 'Hits@1': '0.56522', 'Hits@5': '0.77926', 'Hits@10': '0.81940', 'Hits@20': '0.83612', 'Hits@50': '0.84950', 'Hits@100': '0.84950', 'Hits@200': '0.84950'}","{'MRR': '0.72713', 'Hits@1': '0.61181', 'Hits@5': '0.88186', 'Hits@10': '0.93249', 'Hits@20': '0.95359', 'Hits@50': '0.97046', 'Hits@100': '0.97046', 'Hits@200': '0.97046'}",62
1,3,"{'MRR': '0.65661', 'Hits@1': '0.56522', 'Hits@5': '0.77926', 'Hits@10': '0.81940', 'Hits@20': '0.83612', 'Hits@50': '0.84950', 'Hits@100': '0.84950', 'Hits@200': '0.84950'}","{'MRR': '0.72712', 'Hits@1': '0.61181', 'Hits@5': '0.88186', 'Hits@10': '0.93249', 'Hits@20': '0.95359', 'Hits@50': '0.97046', 'Hits@100': '0.97046', 'Hits@200': '0.97046'}",62
1,4,"{'MRR': '0.65661', 'Hits@1': '0.56522', 'Hits@5': '0.77926', 'Hits@10': '0.81940', 'Hits@20': '0.83612', 'Hits@50': '0.84950', 'Hits@100': '0.84950', 'Hits@200': '0.84950'}","{'MRR': '0.72712', 'Hits@1': '0.61181', 'Hits@5': '0.88186', 'Hits@10': '0.93249', 'Hits@20': '0.95359', 'Hits@50': '0.97046', 'Hits@100': '0.97046', 'Hits@200': '0.97046'}",62
1,5,"{'MRR': '0.65661', 'Hits@1': '0.56522', 'Hits@5': '0.77926', 'Hits@10': '0.81940', 'Hits@20': '0.83612', 'Hits@50': '0.84950', 'Hits@100': '0.84950', 'Hits@200': '0.84950'}","{'MRR': '0.72712', 'Hits@1': '0.61181', 'Hits@5': '0.88186', 'Hits@10': '0.93249', 'Hits@20': '0.95359', 'Hits@50': '0.97046', 'Hits@100': '0.97046', 'Hits@200': '0.97046'}",62
1,6,"{'MRR': '0.65661', 'Hits@1': '0.56522', 'Hits@5': '0.77926', 'Hits@10': '0.81940', 'Hits@20': '0.83612', 'Hits@50': '0.84950', 'Hits@100': '0.84950', 'Hits@200': '0.84950'}","{'MRR': '0.72712', 'Hits@1': '0.61181', 'Hits@5': '0.88186', 'Hits@10': '0.93249', 'Hits@20': '0.95359', 'Hits@50': '0.97046', 'Hits@100': '0.97046', 'Hits@200': '0.97046'}",62
3,0,"{'MRR': '0.67587', 'Hits@1': '0.56522', 'Hits@5': '0.82274', 'Hits@10': '0.84615', 'Hits@20': '0.84950', 'Hits@50': '0.85284', 'Hits@100': '0.85284', 'Hits@200': '0.85284'}","{'MRR': '0.71484', 'Hits@1': '0.61181', 'Hits@5': '0.85654', 'Hits@10': '0.88608', 'Hits@20': '0.89030', 'Hits@50': '0.89451', 'Hits@100': '0.89451', 'Hits@200': '0.89451'}",62
3,1,"{'MRR': '0.68507', 'Hits@1': '0.56522', 'Hits@5': '0.84615', 'Hits@10': '0.88963', 'Hits@20': '0.90970', 'Hits@50': '0.92308', 'Hits@100': '0.92308', 'Hits@200': '0.92308'}","{'MRR': '0.72645', 'Hits@1': '0.61181', 'Hits@5': '0.88608', 'Hits@10': '0.94093', 'Hits@20': '0.96624', 'Hits@50': '0.98312', 'Hits@100': '0.98312', 'Hits@200': '0.98312'}",62
