Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
Nodes,N/A,"{'MRR': '0.52306', 'Hits@1': '0.42140', 'Hits@5': '0.63545', 'Hits@10': '0.72241', 'Hits@20': '0.81605', 'Hits@50': '0.89967', 'Hits@100': '0.93645', 'Hits@200': '0.97659'}","{'MRR': '0.52174', 'Hits@1': '0.41350', 'Hits@5': '0.64135', 'Hits@10': '0.73840', 'Hits@20': '0.83122', 'Hits@50': '0.91139', 'Hits@100': '0.93671', 'Hits@200': '0.98312'}",62
1,0,"{'MRR': '0.47108', 'Hits@1': '0.42140', 'Hits@5': '0.53177', 'Hits@10': '0.56522', 'Hits@20': '0.58194', 'Hits@50': '0.58194', 'Hits@100': '0.58528', 'Hits@200': '0.58528'}","{'MRR': '0.47617', 'Hits@1': '0.41350', 'Hits@5': '0.55274', 'Hits@10': '0.59494', 'Hits@20': '0.61603', 'Hits@50': '0.61603', 'Hits@100': '0.62025', 'Hits@200': '0.62025'}",62
1,1,"{'MRR': '0.50015', 'Hits@1': '0.42140', 'Hits@5': '0.58863', 'Hits@10': '0.65552', 'Hits@20': '0.71572', 'Hits@50': '0.74582', 'Hits@100': '0.75251', 'Hits@200': '0.77592'}","{'MRR': '0.51284', 'Hits@1': '0.41350', 'Hits@5': '0.62447', 'Hits@10': '0.70886', 'Hits@20': '0.78481', 'Hits@50': '0.82278', 'Hits@100': '0.83122', 'Hits@200': '0.86076'}",62
1,2,"{'MRR': '0.49934', 'Hits@1': '0.42140', 'Hits@5': '0.58194', 'Hits@10': '0.64883', 'Hits@20': '0.72910', 'Hits@50': '0.76589', 'Hits@100': '0.78261', 'Hits@200': '0.81940'}","{'MRR': '0.51182', 'Hits@1': '0.41350', 'Hits@5': '0.61603', 'Hits@10': '0.70042', 'Hits@20': '0.80169', 'Hits@50': '0.84810', 'Hits@100': '0.86920', 'Hits@200': '0.91561'}",62
1,3,"{'MRR': '0.49925', 'Hits@1': '0.42140', 'Hits@5': '0.58194', 'Hits@10': '0.64883', 'Hits@20': '0.72910', 'Hits@50': '0.76589', 'Hits@100': '0.78261', 'Hits@200': '0.81940'}","{'MRR': '0.51171', 'Hits@1': '0.41350', 'Hits@5': '0.61603', 'Hits@10': '0.70042', 'Hits@20': '0.80169', 'Hits@50': '0.84810', 'Hits@100': '0.86920', 'Hits@200': '0.91561'}",62
1,4,"{'MRR': '0.49925', 'Hits@1': '0.42140', 'Hits@5': '0.58194', 'Hits@10': '0.64883', 'Hits@20': '0.72910', 'Hits@50': '0.76589', 'Hits@100': '0.78261', 'Hits@200': '0.81940'}","{'MRR': '0.51171', 'Hits@1': '0.41350', 'Hits@5': '0.61603', 'Hits@10': '0.70042', 'Hits@20': '0.80169', 'Hits@50': '0.84810', 'Hits@100': '0.86920', 'Hits@200': '0.91561'}",62
1,5,"{'MRR': '0.49925', 'Hits@1': '0.42140', 'Hits@5': '0.58194', 'Hits@10': '0.64883', 'Hits@20': '0.72910', 'Hits@50': '0.76589', 'Hits@100': '0.78261', 'Hits@200': '0.81940'}","{'MRR': '0.51171', 'Hits@1': '0.41350', 'Hits@5': '0.61603', 'Hits@10': '0.70042', 'Hits@20': '0.80169', 'Hits@50': '0.84810', 'Hits@100': '0.86920', 'Hits@200': '0.91561'}",62
1,6,"{'MRR': '0.49925', 'Hits@1': '0.42140', 'Hits@5': '0.58194', 'Hits@10': '0.64883', 'Hits@20': '0.72910', 'Hits@50': '0.76589', 'Hits@100': '0.78261', 'Hits@200': '0.81940'}","{'MRR': '0.51171', 'Hits@1': '0.41350', 'Hits@5': '0.61603', 'Hits@10': '0.70042', 'Hits@20': '0.80169', 'Hits@50': '0.84810', 'Hits@100': '0.86920', 'Hits@200': '0.91561'}",62
3,0,"{'MRR': '0.50997', 'Hits@1': '0.42140', 'Hits@5': '0.62876', 'Hits@10': '0.68562', 'Hits@20': '0.72241', 'Hits@50': '0.73244', 'Hits@100': '0.74582', 'Hits@200': '0.74582'}","{'MRR': '0.51328', 'Hits@1': '0.41350', 'Hits@5': '0.64557', 'Hits@10': '0.71730', 'Hits@20': '0.76371', 'Hits@50': '0.77637', 'Hits@100': '0.79325', 'Hits@200': '0.79325'}",62
3,1,"{'MRR': '0.51826', 'Hits@1': '0.42140', 'Hits@5': '0.63880', 'Hits@10': '0.71572', 'Hits@20': '0.78930', 'Hits@50': '0.83278', 'Hits@100': '0.84950', 'Hits@200': '0.88963'}","{'MRR': '0.52374', 'Hits@1': '0.41350', 'Hits@5': '0.65823', 'Hits@10': '0.75527', 'Hits@20': '0.84810', 'Hits@50': '0.90295', 'Hits@100': '0.92405', 'Hits@200': '0.97468'}",62
