Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
Nodes,N/A,"{'MRR': '0.70868', 'Hits@1': '0.57191', 'Hits@5': '0.88963', 'Hits@10': '0.95987', 'Hits@20': '0.98328', 'Hits@50': '1.00000', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}","{'MRR': '0.72714', 'Hits@1': '0.59072', 'Hits@5': '0.91139', 'Hits@10': '0.96624', 'Hits@20': '0.99156', 'Hits@50': '1.00000', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
1,0,"{'MRR': '0.61871', 'Hits@1': '0.57191', 'Hits@5': '0.67893', 'Hits@10': '0.68562', 'Hits@20': '0.68896', 'Hits@50': '0.68896', 'Hits@100': '0.68896', 'Hits@200': '0.68896'}","{'MRR': '0.64977', 'Hits@1': '0.59072', 'Hits@5': '0.72574', 'Hits@10': '0.73418', 'Hits@20': '0.73840', 'Hits@50': '0.73840', 'Hits@100': '0.73840', 'Hits@200': '0.73840'}",62
1,1,"{'MRR': '0.66088', 'Hits@1': '0.57191', 'Hits@5': '0.77592', 'Hits@10': '0.81605', 'Hits@20': '0.82609', 'Hits@50': '0.82609', 'Hits@100': '0.82609', 'Hits@200': '0.82609'}","{'MRR': '0.70297', 'Hits@1': '0.59072', 'Hits@5': '0.84810', 'Hits@10': '0.89873', 'Hits@20': '0.91139', 'Hits@50': '0.91139', 'Hits@100': '0.91139', 'Hits@200': '0.91139'}",62
1,2,"{'MRR': '0.67284', 'Hits@1': '0.57191', 'Hits@5': '0.80602', 'Hits@10': '0.84950', 'Hits@20': '0.86288', 'Hits@50': '0.86622', 'Hits@100': '0.86622', 'Hits@200': '0.86622'}","{'MRR': '0.71806', 'Hits@1': '0.59072', 'Hits@5': '0.88608', 'Hits@10': '0.94093', 'Hits@20': '0.95781', 'Hits@50': '0.96203', 'Hits@100': '0.96203', 'Hits@200': '0.96203'}",62
1,3,"{'MRR': '0.67451', 'Hits@1': '0.57191', 'Hits@5': '0.80936', 'Hits@10': '0.85284', 'Hits@20': '0.86622', 'Hits@50': '0.86957', 'Hits@100': '0.86957', 'Hits@200': '0.86957'}","{'MRR': '0.72017', 'Hits@1': '0.59072', 'Hits@5': '0.89030', 'Hits@10': '0.94515', 'Hits@20': '0.96203', 'Hits@50': '0.96624', 'Hits@100': '0.96624', 'Hits@200': '0.96624'}",62
1,4,"{'MRR': '0.67451', 'Hits@1': '0.57191', 'Hits@5': '0.80936', 'Hits@10': '0.85284', 'Hits@20': '0.86622', 'Hits@50': '0.86957', 'Hits@100': '0.86957', 'Hits@200': '0.86957'}","{'MRR': '0.72017', 'Hits@1': '0.59072', 'Hits@5': '0.89030', 'Hits@10': '0.94515', 'Hits@20': '0.96203', 'Hits@50': '0.96624', 'Hits@100': '0.96624', 'Hits@200': '0.96624'}",62
1,5,"{'MRR': '0.67451', 'Hits@1': '0.57191', 'Hits@5': '0.80936', 'Hits@10': '0.85284', 'Hits@20': '0.86622', 'Hits@50': '0.86957', 'Hits@100': '0.86957', 'Hits@200': '0.86957'}","{'MRR': '0.72017', 'Hits@1': '0.59072', 'Hits@5': '0.89030', 'Hits@10': '0.94515', 'Hits@20': '0.96203', 'Hits@50': '0.96624', 'Hits@100': '0.96624', 'Hits@200': '0.96624'}",62
1,6,"{'MRR': '0.67451', 'Hits@1': '0.57191', 'Hits@5': '0.80936', 'Hits@10': '0.85284', 'Hits@20': '0.86622', 'Hits@50': '0.86957', 'Hits@100': '0.86957', 'Hits@200': '0.86957'}","{'MRR': '0.72017', 'Hits@1': '0.59072', 'Hits@5': '0.89030', 'Hits@10': '0.94515', 'Hits@20': '0.96203', 'Hits@50': '0.96624', 'Hits@100': '0.96624', 'Hits@200': '0.96624'}",62
3,0,"{'MRR': '0.69311', 'Hits@1': '0.57191', 'Hits@5': '0.85953', 'Hits@10': '0.87960', 'Hits@20': '0.88963', 'Hits@50': '0.88963', 'Hits@100': '0.88963', 'Hits@200': '0.88963'}","{'MRR': '0.71690', 'Hits@1': '0.59072', 'Hits@5': '0.89030', 'Hits@10': '0.91561', 'Hits@20': '0.92827', 'Hits@50': '0.92827', 'Hits@100': '0.92827', 'Hits@200': '0.92827'}",62
3,1,"{'MRR': '0.70129', 'Hits@1': '0.57191', 'Hits@5': '0.87625', 'Hits@10': '0.92308', 'Hits@20': '0.93980', 'Hits@50': '0.94314', 'Hits@100': '0.94314', 'Hits@200': '0.94314'}","{'MRR': '0.72723', 'Hits@1': '0.59072', 'Hits@5': '0.91139', 'Hits@10': '0.97046', 'Hits@20': '0.99156', 'Hits@50': '0.99578', 'Hits@100': '0.99578', 'Hits@200': '0.99578'}",62
