Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
Nodes,N/A,"{'MRR': '0.63097', 'Hits@1': '0.50167', 'Hits@5': '0.79599', 'Hits@10': '0.85619', 'Hits@20': '0.93645', 'Hits@50': '0.99331', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}","{'MRR': '0.66411', 'Hits@1': '0.54008', 'Hits@5': '0.82278', 'Hits@10': '0.87764', 'Hits@20': '0.94937', 'Hits@50': '0.99156', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
1,0,"{'MRR': '0.54577', 'Hits@1': '0.50167', 'Hits@5': '0.61538', 'Hits@10': '0.62207', 'Hits@20': '0.63545', 'Hits@50': '0.63545', 'Hits@100': '0.63545', 'Hits@200': '0.63545'}","{'MRR': '0.59572', 'Hits@1': '0.54008', 'Hits@5': '0.68354', 'Hits@10': '0.69198', 'Hits@20': '0.70886', 'Hits@50': '0.70886', 'Hits@100': '0.70886', 'Hits@200': '0.70886'}",62
1,1,"{'MRR': '0.58644', 'Hits@1': '0.50167', 'Hits@5': '0.69900', 'Hits@10': '0.73579', 'Hits@20': '0.77926', 'Hits@50': '0.80268', 'Hits@100': '0.80268', 'Hits@200': '0.80268'}","{'MRR': '0.64703', 'Hits@1': '0.54008', 'Hits@5': '0.78903', 'Hits@10': '0.83544', 'Hits@20': '0.89030', 'Hits@50': '0.91983', 'Hits@100': '0.91983', 'Hits@200': '0.91983'}",62
1,2,"{'MRR': '0.59424', 'Hits@1': '0.50167', 'Hits@5': '0.70903', 'Hits@10': '0.75920', 'Hits@20': '0.80602', 'Hits@50': '0.83612', 'Hits@100': '0.83612', 'Hits@200': '0.83612'}","{'MRR': '0.65687', 'Hits@1': '0.54008', 'Hits@5': '0.80169', 'Hits@10': '0.86498', 'Hits@20': '0.92405', 'Hits@50': '0.96203', 'Hits@100': '0.96203', 'Hits@200': '0.96203'}",62
1,3,"{'MRR': '0.59533', 'Hits@1': '0.50167', 'Hits@5': '0.71237', 'Hits@10': '0.76254', 'Hits@20': '0.80936', 'Hits@50': '0.83946', 'Hits@100': '0.83946', 'Hits@200': '0.83946'}","{'MRR': '0.65825', 'Hits@1': '0.54008', 'Hits@5': '0.80591', 'Hits@10': '0.86920', 'Hits@20': '0.92827', 'Hits@50': '0.96624', 'Hits@100': '0.96624', 'Hits@200': '0.96624'}",62
1,4,"{'MRR': '0.59533', 'Hits@1': '0.50167', 'Hits@5': '0.71237', 'Hits@10': '0.76254', 'Hits@20': '0.80936', 'Hits@50': '0.83946', 'Hits@100': '0.83946', 'Hits@200': '0.83946'}","{'MRR': '0.65825', 'Hits@1': '0.54008', 'Hits@5': '0.80591', 'Hits@10': '0.86920', 'Hits@20': '0.92827', 'Hits@50': '0.96624', 'Hits@100': '0.96624', 'Hits@200': '0.96624'}",62
1,5,"{'MRR': '0.59533', 'Hits@1': '0.50167', 'Hits@5': '0.71237', 'Hits@10': '0.76254', 'Hits@20': '0.80936', 'Hits@50': '0.83946', 'Hits@100': '0.83946', 'Hits@200': '0.83946'}","{'MRR': '0.65825', 'Hits@1': '0.54008', 'Hits@5': '0.80591', 'Hits@10': '0.86920', 'Hits@20': '0.92827', 'Hits@50': '0.96624', 'Hits@100': '0.96624', 'Hits@200': '0.96624'}",62
1,6,"{'MRR': '0.59533', 'Hits@1': '0.50167', 'Hits@5': '0.71237', 'Hits@10': '0.76254', 'Hits@20': '0.80936', 'Hits@50': '0.83946', 'Hits@100': '0.83946', 'Hits@200': '0.83946'}","{'MRR': '0.65825', 'Hits@1': '0.54008', 'Hits@5': '0.80591', 'Hits@10': '0.86920', 'Hits@20': '0.92827', 'Hits@50': '0.96624', 'Hits@100': '0.96624', 'Hits@200': '0.96624'}",62
3,0,"{'MRR': '0.61274', 'Hits@1': '0.50167', 'Hits@5': '0.76589', 'Hits@10': '0.78930', 'Hits@20': '0.81271', 'Hits@50': '0.82274', 'Hits@100': '0.82274', 'Hits@200': '0.82274'}","{'MRR': '0.65419', 'Hits@1': '0.54008', 'Hits@5': '0.81435', 'Hits@10': '0.84388', 'Hits@20': '0.87342', 'Hits@50': '0.88608', 'Hits@100': '0.88608', 'Hits@200': '0.88608'}",62
3,1,"{'MRR': '0.62056', 'Hits@1': '0.50167', 'Hits@5': '0.77592', 'Hits@10': '0.82609', 'Hits@20': '0.87291', 'Hits@50': '0.90301', 'Hits@100': '0.90301', 'Hits@200': '0.90301'}","{'MRR': '0.66405', 'Hits@1': '0.54008', 'Hits@5': '0.82700', 'Hits@10': '0.89030', 'Hits@20': '0.94937', 'Hits@50': '0.98734', 'Hits@100': '0.98734', 'Hits@200': '0.98734'}",62
