Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
Nodes,N/A,"{'MRR': '0.64636', 'Hits@1': '0.51171', 'Hits@5': '0.81605', 'Hits@10': '0.90635', 'Hits@20': '0.97324', 'Hits@50': '0.99666', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}","{'MRR': '0.66603', 'Hits@1': '0.52743', 'Hits@5': '0.84388', 'Hits@10': '0.92405', 'Hits@20': '0.97468', 'Hits@50': '1.00000', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
1,0,"{'MRR': '0.56401', 'Hits@1': '0.51171', 'Hits@5': '0.62542', 'Hits@10': '0.64883', 'Hits@20': '0.65217', 'Hits@50': '0.65217', 'Hits@100': '0.65217', 'Hits@200': '0.65217'}","{'MRR': '0.59341', 'Hits@1': '0.52743', 'Hits@5': '0.67089', 'Hits@10': '0.70042', 'Hits@20': '0.70464', 'Hits@50': '0.70464', 'Hits@100': '0.70464', 'Hits@200': '0.70464'}",62
1,1,"{'MRR': '0.60858', 'Hits@1': '0.51171', 'Hits@5': '0.72575', 'Hits@10': '0.77926', 'Hits@20': '0.81271', 'Hits@50': '0.82274', 'Hits@100': '0.82274', 'Hits@200': '0.82274'}","{'MRR': '0.64965', 'Hits@1': '0.52743', 'Hits@5': '0.79747', 'Hits@10': '0.86498', 'Hits@20': '0.90717', 'Hits@50': '0.91983', 'Hits@100': '0.91983', 'Hits@200': '0.91983'}",62
1,2,"{'MRR': '0.61452', 'Hits@1': '0.51171', 'Hits@5': '0.74247', 'Hits@10': '0.79264', 'Hits@20': '0.83278', 'Hits@50': '0.84950', 'Hits@100': '0.84950', 'Hits@200': '0.84950'}","{'MRR': '0.65713', 'Hits@1': '0.52743', 'Hits@5': '0.81857', 'Hits@10': '0.88186', 'Hits@20': '0.93249', 'Hits@50': '0.95359', 'Hits@100': '0.95359', 'Hits@200': '0.95359'}",62
1,3,"{'MRR': '0.61451', 'Hits@1': '0.51171', 'Hits@5': '0.74247', 'Hits@10': '0.79599', 'Hits@20': '0.83612', 'Hits@50': '0.85284', 'Hits@100': '0.85284', 'Hits@200': '0.85284'}","{'MRR': '0.65713', 'Hits@1': '0.52743', 'Hits@5': '0.81857', 'Hits@10': '0.88608', 'Hits@20': '0.93671', 'Hits@50': '0.95781', 'Hits@100': '0.95781', 'Hits@200': '0.95781'}",62
1,4,"{'MRR': '0.61451', 'Hits@1': '0.51171', 'Hits@5': '0.74247', 'Hits@10': '0.79599', 'Hits@20': '0.83612', 'Hits@50': '0.85284', 'Hits@100': '0.85284', 'Hits@200': '0.85284'}","{'MRR': '0.65713', 'Hits@1': '0.52743', 'Hits@5': '0.81857', 'Hits@10': '0.88608', 'Hits@20': '0.93671', 'Hits@50': '0.95781', 'Hits@100': '0.95781', 'Hits@200': '0.95781'}",62
1,5,"{'MRR': '0.61451', 'Hits@1': '0.51171', 'Hits@5': '0.74247', 'Hits@10': '0.79599', 'Hits@20': '0.83612', 'Hits@50': '0.85284', 'Hits@100': '0.85284', 'Hits@200': '0.85284'}","{'MRR': '0.65713', 'Hits@1': '0.52743', 'Hits@5': '0.81857', 'Hits@10': '0.88608', 'Hits@20': '0.93671', 'Hits@50': '0.95781', 'Hits@100': '0.95781', 'Hits@200': '0.95781'}",62
1,6,"{'MRR': '0.61451', 'Hits@1': '0.51171', 'Hits@5': '0.74247', 'Hits@10': '0.79599', 'Hits@20': '0.83612', 'Hits@50': '0.85284', 'Hits@100': '0.85284', 'Hits@200': '0.85284'}","{'MRR': '0.65713', 'Hits@1': '0.52743', 'Hits@5': '0.81857', 'Hits@10': '0.88608', 'Hits@20': '0.93671', 'Hits@50': '0.95781', 'Hits@100': '0.95781', 'Hits@200': '0.95781'}",62
3,0,"{'MRR': '0.62309', 'Hits@1': '0.51171', 'Hits@5': '0.76254', 'Hits@10': '0.80602', 'Hits@20': '0.81605', 'Hits@50': '0.82274', 'Hits@100': '0.82274', 'Hits@200': '0.82274'}","{'MRR': '0.65108', 'Hits@1': '0.52743', 'Hits@5': '0.80591', 'Hits@10': '0.86076', 'Hits@20': '0.87342', 'Hits@50': '0.88186', 'Hits@100': '0.88186', 'Hits@200': '0.88186'}",62
3,1,"{'MRR': '0.63474', 'Hits@1': '0.51171', 'Hits@5': '0.78930', 'Hits@10': '0.85619', 'Hits@20': '0.89298', 'Hits@50': '0.90635', 'Hits@100': '0.90635', 'Hits@200': '0.90635'}","{'MRR': '0.66576', 'Hits@1': '0.52743', 'Hits@5': '0.83966', 'Hits@10': '0.92405', 'Hits@20': '0.97046', 'Hits@50': '0.98734', 'Hits@100': '0.98734', 'Hits@200': '0.98734'}",62
